artist_name;song_title;token
Red Hot Chilli Peppers;Yertle The Turtle;look
Red Hot Chilli Peppers;Yertle The Turtle;at
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;turte
Red Hot Chilli Peppers;Yertle The Turtle;go
Red Hot Chilli Peppers;Yertle The Turtle;bro
Red Hot Chilli Peppers;Yertle The Turtle;on
Red Hot Chilli Peppers;Yertle The Turtle;a
Red Hot Chilli Peppers;Yertle The Turtle;far
Red Hot Chilli Peppers;Yertle The Turtle;away
Red Hot Chilli Peppers;Yertle The Turtle;island
Red Hot Chilli Peppers;Yertle The Turtle;of
Red Hot Chilli Peppers;Yertle The Turtle;salamasond
Red Hot Chilli Peppers;Yertle The Turtle;yertle
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;turtle
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;king
Red Hot Chilli Peppers;Yertle The Turtle;of
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;pond
Red Hot Chilli Peppers;Yertle The Turtle;a
Red Hot Chilli Peppers;Yertle The Turtle;nice
Red Hot Chilli Peppers;Yertle The Turtle;little
Red Hot Chilli Peppers;Yertle The Turtle;pond
Red Hot Chilli Peppers;Yertle The Turtle;it
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;clean
Red Hot Chilli Peppers;Yertle The Turtle;it
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;neat
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;water
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;warm
Red Hot Chilli Peppers;Yertle The Turtle;there
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;plenty
Red Hot Chilli Peppers;Yertle The Turtle;to
Red Hot Chilli Peppers;Yertle The Turtle;eat
Red Hot Chilli Peppers;Yertle The Turtle;until
Red Hot Chilli Peppers;Yertle The Turtle;one
Red Hot Chilli Peppers;Yertle The Turtle;day
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;king
Red Hot Chilli Peppers;Yertle The Turtle;of
Red Hot Chilli Peppers;Yertle The Turtle;them
Red Hot Chilli Peppers;Yertle The Turtle;all
Red Hot Chilli Peppers;Yertle The Turtle;decided
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;kingdom
Red Hot Chilli Peppers;Yertle The Turtle;he
Red Hot Chilli Peppers;Yertle The Turtle;ruled
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;too
Red Hot Chilli Peppers;Yertle The Turtle;small
Red Hot Chilli Peppers;Yertle The Turtle;i'm
Red Hot Chilli Peppers;Yertle The Turtle;a
Red Hot Chilli Peppers;Yertle The Turtle;ruler
Red Hot Chilli Peppers;Yertle The Turtle;of
Red Hot Chilli Peppers;Yertle The Turtle;all
Red Hot Chilli Peppers;Yertle The Turtle;that
Red Hot Chilli Peppers;Yertle The Turtle;i
Red Hot Chilli Peppers;Yertle The Turtle;see
Red Hot Chilli Peppers;Yertle The Turtle;but
Red Hot Chilli Peppers;Yertle The Turtle;i
Red Hot Chilli Peppers;Yertle The Turtle;don't
Red Hot Chilli Peppers;Yertle The Turtle;see
Red Hot Chilli Peppers;Yertle The Turtle;enough
Red Hot Chilli Peppers;Yertle The Turtle;look
Red Hot Chilli Peppers;Yertle The Turtle;at
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;turte
Red Hot Chilli Peppers;Yertle The Turtle;go
Red Hot Chilli Peppers;Yertle The Turtle;bro
Red Hot Chilli Peppers;Yertle The Turtle;on
Red Hot Chilli Peppers;Yertle The Turtle;a
Red Hot Chilli Peppers;Yertle The Turtle;far
Red Hot Chilli Peppers;Yertle The Turtle;away
Red Hot Chilli Peppers;Yertle The Turtle;island
Red Hot Chilli Peppers;Yertle The Turtle;of
Red Hot Chilli Peppers;Yertle The Turtle;salamasond
Red Hot Chilli Peppers;Yertle The Turtle;yertle
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;turtle
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;king
Red Hot Chilli Peppers;Yertle The Turtle;of
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;pond
Red Hot Chilli Peppers;Yertle The Turtle;a
Red Hot Chilli Peppers;Yertle The Turtle;nice
Red Hot Chilli Peppers;Yertle The Turtle;little
Red Hot Chilli Peppers;Yertle The Turtle;pond
Red Hot Chilli Peppers;Yertle The Turtle;it
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;clean
Red Hot Chilli Peppers;Yertle The Turtle;it
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;neat
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;water
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;warm
Red Hot Chilli Peppers;Yertle The Turtle;there
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;plenty
Red Hot Chilli Peppers;Yertle The Turtle;to
Red Hot Chilli Peppers;Yertle The Turtle;eat
Red Hot Chilli Peppers;Yertle The Turtle;until
Red Hot Chilli Peppers;Yertle The Turtle;one
Red Hot Chilli Peppers;Yertle The Turtle;day
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;king
Red Hot Chilli Peppers;Yertle The Turtle;of
Red Hot Chilli Peppers;Yertle The Turtle;them
Red Hot Chilli Peppers;Yertle The Turtle;all
Red Hot Chilli Peppers;Yertle The Turtle;decided
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;kingdom
Red Hot Chilli Peppers;Yertle The Turtle;he
Red Hot Chilli Peppers;Yertle The Turtle;ruled
Red Hot Chilli Peppers;Yertle The Turtle;was
Red Hot Chilli Peppers;Yertle The Turtle;too
Red Hot Chilli Peppers;Yertle The Turtle;small
Red Hot Chilli Peppers;Yertle The Turtle;i'm
Red Hot Chilli Peppers;Yertle The Turtle;a
Red Hot Chilli Peppers;Yertle The Turtle;ruler
Red Hot Chilli Peppers;Yertle The Turtle;of
Red Hot Chilli Peppers;Yertle The Turtle;all
Red Hot Chilli Peppers;Yertle The Turtle;that
Red Hot Chilli Peppers;Yertle The Turtle;i
Red Hot Chilli Peppers;Yertle The Turtle;see
Red Hot Chilli Peppers;Yertle The Turtle;but
Red Hot Chilli Peppers;Yertle The Turtle;i
Red Hot Chilli Peppers;Yertle The Turtle;don't
Red Hot Chilli Peppers;Yertle The Turtle;see
Red Hot Chilli Peppers;Yertle The Turtle;enough
Red Hot Chilli Peppers;Yertle The Turtle;and
Red Hot Chilli Peppers;Yertle The Turtle;that
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;trouble
Red Hot Chilli Peppers;Yertle The Turtle;with
Red Hot Chilli Peppers;Yertle The Turtle;me
Red Hot Chilli Peppers;Yertle The Turtle;with
Red Hot Chilli Peppers;Yertle The Turtle;this
Red Hot Chilli Peppers;Yertle The Turtle;stone
Red Hot Chilli Peppers;Yertle The Turtle;for
Red Hot Chilli Peppers;Yertle The Turtle;a
Red Hot Chilli Peppers;Yertle The Turtle;throne
Red Hot Chilli Peppers;Yertle The Turtle;i
Red Hot Chilli Peppers;Yertle The Turtle;am
Red Hot Chilli Peppers;Yertle The Turtle;too
Red Hot Chilli Peppers;Yertle The Turtle;low
Red Hot Chilli Peppers;Yertle The Turtle;down
Red Hot Chilli Peppers;Yertle The Turtle;i
Red Hot Chilli Peppers;Yertle The Turtle;cannot
Red Hot Chilli Peppers;Yertle The Turtle;look
Red Hot Chilli Peppers;Yertle The Turtle;down
Red Hot Chilli Peppers;Yertle The Turtle;upon
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;places
Red Hot Chilli Peppers;Yertle The Turtle;beyond
Red Hot Chilli Peppers;Yertle The Turtle;so
Red Hot Chilli Peppers;Yertle The Turtle;yertle
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;turtle
Red Hot Chilli Peppers;Yertle The Turtle;king
Red Hot Chilli Peppers;Yertle The Turtle;lifted
Red Hot Chilli Peppers;Yertle The Turtle;his
Red Hot Chilli Peppers;Yertle The Turtle;hand
Red Hot Chilli Peppers;Yertle The Turtle;and
Red Hot Chilli Peppers;Yertle The Turtle;yertle
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;turtle
Red Hot Chilli Peppers;Yertle The Turtle;king
Red Hot Chilli Peppers;Yertle The Turtle;lifted
Red Hot Chilli Peppers;Yertle The Turtle;his
Red Hot Chilli Peppers;Yertle The Turtle;hand
Red Hot Chilli Peppers;Yertle The Turtle;he
Red Hot Chilli Peppers;Yertle The Turtle;ordered
Red Hot Chilli Peppers;Yertle The Turtle;all
Red Hot Chilli Peppers;Yertle The Turtle;the
Red Hot Chilli Peppers;Yertle The Turtle;turtles
Red Hot Chilli Peppers;Yertle The Turtle;onto
Red Hot Chilli Peppers;Yertle The Turtle;one
Red Hot Chilli Peppers;Yertle The Turtle;another
Red Hot Chilli Peppers;Yertle The Turtle;back
Red Hot Chilli Peppers;Yertle The Turtle;he
Red Hot Chilli Peppers;Yertle The Turtle;piled
Red Hot Chilli Peppers;Yertle The Turtle;them
Red Hot Chilli Peppers;Yertle The Turtle;high
