artist_name;song_title;token
Slipknot;Solway Firth;today
Slipknot;Solway Firth;up
Slipknot;Solway Firth;on
Slipknot;Solway Firth;this
Slipknot;Solway Firth;hill
Slipknot;Solway Firth;i'm
Slipknot;Solway Firth;counting
Slipknot;Solway Firth;all
Slipknot;Solway Firth;the
Slipknot;Solway Firth;killers
Slipknot;Solway Firth;they
Slipknot;Solway Firth;sway
Slipknot;Solway Firth;as
Slipknot;Solway Firth;they
Slipknot;Solway Firth;swarm
Slipknot;Solway Firth;a
Slipknot;Solway Firth;look
Slipknot;Solway Firth;of
Slipknot;Solway Firth;gluttons
Slipknot;Solway Firth;in
Slipknot;Solway Firth;their
Slipknot;Solway Firth;eyes
Slipknot;Solway Firth;they
Slipknot;Solway Firth;mutter
Slipknot;Solway Firth;as
Slipknot;Solway Firth;the
Slipknot;Solway Firth;body
Slipknot;Solway Firth;loses
Slipknot;Solway Firth;warmth
Slipknot;Solway Firth;they
Slipknot;Solway Firth;pick
Slipknot;Solway Firth;your
Slipknot;Solway Firth;bones
Slipknot;Solway Firth;like
Slipknot;Solway Firth;locks
Slipknot;Solway Firth;inside
Slipknot;Solway Firth;a
Slipknot;Solway Firth;tomb
Slipknot;Solway Firth;and
Slipknot;Solway Firth;take
Slipknot;Solway Firth;great
Slipknot;Solway Firth;care
Slipknot;Solway Firth;to
Slipknot;Solway Firth;not
Slipknot;Solway Firth;take
Slipknot;Solway Firth;care
Slipknot;Solway Firth;of
Slipknot;Solway Firth;you
Slipknot;Solway Firth;here
Slipknot;Solway Firth;an
Slipknot;Solway Firth;unexplainable
Slipknot;Solway Firth;one
Slipknot;Solway Firth;here
Slipknot;Solway Firth;an
Slipknot;Solway Firth;unexplainable
Slipknot;Solway Firth;one
Slipknot;Solway Firth;today
Slipknot;Solway Firth;up
Slipknot;Solway Firth;on
Slipknot;Solway Firth;this
Slipknot;Solway Firth;hill
Slipknot;Solway Firth;i'm
Slipknot;Solway Firth;counting
Slipknot;Solway Firth;all
Slipknot;Solway Firth;the
Slipknot;Solway Firth;killers
Slipknot;Solway Firth;they
Slipknot;Solway Firth;sway
Slipknot;Solway Firth;as
Slipknot;Solway Firth;they
Slipknot;Solway Firth;swarm
Slipknot;Solway Firth;a
Slipknot;Solway Firth;look
Slipknot;Solway Firth;of
Slipknot;Solway Firth;gluttons
Slipknot;Solway Firth;in
Slipknot;Solway Firth;their
Slipknot;Solway Firth;eyes
Slipknot;Solway Firth;they
Slipknot;Solway Firth;mutter
Slipknot;Solway Firth;as
Slipknot;Solway Firth;the
Slipknot;Solway Firth;body
Slipknot;Solway Firth;loses
Slipknot;Solway Firth;warmth
Slipknot;Solway Firth;they
Slipknot;Solway Firth;pick
Slipknot;Solway Firth;your
Slipknot;Solway Firth;bones
Slipknot;Solway Firth;like
Slipknot;Solway Firth;locks
Slipknot;Solway Firth;inside
Slipknot;Solway Firth;a
Slipknot;Solway Firth;tomb
Slipknot;Solway Firth;and
Slipknot;Solway Firth;take
Slipknot;Solway Firth;great
Slipknot;Solway Firth;care
Slipknot;Solway Firth;to
Slipknot;Solway Firth;not
Slipknot;Solway Firth;take
Slipknot;Solway Firth;care
Slipknot;Solway Firth;of
Slipknot;Solway Firth;you
Slipknot;Solway Firth;here
Slipknot;Solway Firth;an
Slipknot;Solway Firth;unexplainable
Slipknot;Solway Firth;one
Slipknot;Solway Firth;here
Slipknot;Solway Firth;an
Slipknot;Solway Firth;unexplainable
Slipknot;Solway Firth;one
Slipknot;Solway Firth;while
Slipknot;Solway Firth;i
Slipknot;Solway Firth;was
Slipknot;Solway Firth;learning
Slipknot;Solway Firth;to
Slipknot;Solway Firth;live
Slipknot;Solway Firth;we
Slipknot;Solway Firth;all
Slipknot;Solway Firth;were
Slipknot;Solway Firth;living
Slipknot;Solway Firth;a
Slipknot;Solway Firth;lie
Slipknot;Solway Firth;i
Slipknot;Solway Firth;guess
Slipknot;Solway Firth;you
Slipknot;Solway Firth;got
Slipknot;Solway Firth;what
Slipknot;Solway Firth;you
Slipknot;Solway Firth;wanted
Slipknot;Solway Firth;so
Slipknot;Solway Firth;i
Slipknot;Solway Firth;will
Slipknot;Solway Firth;settle
Slipknot;Solway Firth;for
Slipknot;Solway Firth;a
Slipknot;Solway Firth;slaughterhouse
Slipknot;Solway Firth;soaked
Slipknot;Solway Firth;in
Slipknot;Solway Firth;blood
Slipknot;Solway Firth;and
Slipknot;Solway Firth;betrayal
Slipknot;Solway Firth;it
Slipknot;Solway Firth;always
Slipknot;Solway Firth;somebody
Slipknot;Solway Firth;else
Slipknot;Solway Firth;somebody
Slipknot;Solway Firth;else
Slipknot;Solway Firth;was
Slipknot;Solway Firth;me
Slipknot;Solway Firth;you
Slipknot;Solway Firth;want
Slipknot;Solway Firth;the
Slipknot;Solway Firth;real
Slipknot;Solway Firth;smile
Slipknot;Solway Firth;or
Slipknot;Solway Firth;the
Slipknot;Solway Firth;one
Slipknot;Solway Firth;i
Slipknot;Solway Firth;used
Slipknot;Solway Firth;to
Slipknot;Solway Firth;practice
Slipknot;Solway Firth;not
Slipknot;Solway Firth;to
Slipknot;Solway Firth;feel
Slipknot;Solway Firth;like
Slipknot;Solway Firth;a
Slipknot;Solway Firth;failure
Slipknot;Solway Firth;i
Slipknot;Solway Firth;don't
Slipknot;Solway Firth;need
Slipknot;Solway Firth;you
Slipknot;Solway Firth;to
Slipknot;Solway Firth;do
Slipknot;Solway Firth;it
Slipknot;Solway Firth;for
Slipknot;Solway Firth;me
Slipknot;Solway Firth;i
Slipknot;Solway Firth;don't
Slipknot;Solway Firth;need
Slipknot;Solway Firth;you
Slipknot;Solway Firth;to
Slipknot;Solway Firth;understand
Slipknot;Solway Firth;i
Slipknot;Solway Firth;don't
Slipknot;Solway Firth;need
Slipknot;Solway Firth;you
Slipknot;Solway Firth;to
Slipknot;Solway Firth;hide
Slipknot;Solway Firth;it
Slipknot;Solway Firth;from
Slipknot;Solway Firth;me
Slipknot;Solway Firth;i
Slipknot;Solway Firth;just
Slipknot;Solway Firth;want
Slipknot;Solway Firth;to
Slipknot;Solway Firth;feel
Slipknot;Solway Firth;like
Slipknot;Solway Firth;any
Slipknot;Solway Firth;other
Slipknot;Solway Firth;man
Slipknot;Solway Firth;i
Slipknot;Solway Firth;won't
Slipknot;Solway Firth;show
Slipknot;Solway Firth;you
Slipknot;Solway Firth;the
Slipknot;Solway Firth;whole
Slipknot;Solway Firth;story
Slipknot;Solway Firth;i
Slipknot;Solway Firth;won't
Slipknot;Solway Firth;show
Slipknot;Solway Firth;you
Slipknot;Solway Firth;the
Slipknot;Solway Firth;aftermath
Slipknot;Solway Firth;i
Slipknot;Solway Firth;won't
Slipknot;Solway Firth;show
Slipknot;Solway Firth;you
Slipknot;Solway Firth;my
Slipknot;Solway Firth;allegory
Slipknot;Solway Firth;don't
Slipknot;Solway Firth;look
Slipknot;Solway Firth;away
Slipknot;Solway Firth;here
Slipknot;Solway Firth;an
Slipknot;Solway Firth;unexplainable
Slipknot;Solway Firth;one
Slipknot;Solway Firth;here
