artist_name;song_title;token
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;weed
Snoop Dogg;Kush Ups;man
Snoop Dogg;Kush Ups;got
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;hook
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;rollin'
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;another
Snoop Dogg;Kush Ups;pound
Snoop Dogg;Kush Ups;every
Snoop Dogg;Kush Ups;time
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;look
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;big-ass
Snoop Dogg;Kush Ups;joints
Snoop Dogg;Kush Ups;them
Snoop Dogg;Kush Ups;ones
Snoop Dogg;Kush Ups;that
Snoop Dogg;Kush Ups;leave
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;shook
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;so
Snoop Dogg;Kush Ups;much
Snoop Dogg;Kush Ups;weight
Snoop Dogg;Kush Ups;that
Snoop Dogg;Kush Ups;now
Snoop Dogg;Kush Ups;i'm
Snoop Dogg;Kush Ups;doin'
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;'bout
Snoop Dogg;Kush Ups;to
Snoop Dogg;Kush Ups;roll
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;whole
Snoop Dogg;Kush Ups;book
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;lookin'
Snoop Dogg;Kush Ups;for
Snoop Dogg;Kush Ups;me
Snoop Dogg;Kush Ups;i
Snoop Dogg;Kush Ups;was
Snoop Dogg;Kush Ups;at
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;crib
Snoop Dogg;Kush Ups;doin'
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;'bout
Snoop Dogg;Kush Ups;to
Snoop Dogg;Kush Ups;roll
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;whole
Snoop Dogg;Kush Ups;book
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;weed
Snoop Dogg;Kush Ups;man
Snoop Dogg;Kush Ups;got
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;hook
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;rollin'
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;another
Snoop Dogg;Kush Ups;pound
Snoop Dogg;Kush Ups;every
Snoop Dogg;Kush Ups;time
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;look
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;big-ass
Snoop Dogg;Kush Ups;joints
Snoop Dogg;Kush Ups;them
Snoop Dogg;Kush Ups;ones
Snoop Dogg;Kush Ups;that
Snoop Dogg;Kush Ups;leave
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;shook
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;so
Snoop Dogg;Kush Ups;much
Snoop Dogg;Kush Ups;weight
Snoop Dogg;Kush Ups;that
Snoop Dogg;Kush Ups;now
Snoop Dogg;Kush Ups;i'm
Snoop Dogg;Kush Ups;doin'
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;'bout
Snoop Dogg;Kush Ups;to
Snoop Dogg;Kush Ups;roll
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;whole
Snoop Dogg;Kush Ups;book
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;lookin'
Snoop Dogg;Kush Ups;for
Snoop Dogg;Kush Ups;me
Snoop Dogg;Kush Ups;i
Snoop Dogg;Kush Ups;was
Snoop Dogg;Kush Ups;at
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;crib
Snoop Dogg;Kush Ups;doin'
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;'bout
Snoop Dogg;Kush Ups;to
Snoop Dogg;Kush Ups;roll
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;whole
Snoop Dogg;Kush Ups;book
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;lookin'
Snoop Dogg;Kush Ups;for
Snoop Dogg;Kush Ups;me
Snoop Dogg;Kush Ups;i
Snoop Dogg;Kush Ups;was
Snoop Dogg;Kush Ups;at
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;crib
Snoop Dogg;Kush Ups;doin'
Snoop Dogg;Kush Ups;don't
Snoop Dogg;Kush Ups;stop
Snoop Dogg;Kush Ups;tae
Snoop Dogg;Kush Ups;bo
Snoop Dogg;Kush Ups;five
Snoop Dogg;Kush Ups;four
Snoop Dogg;Kush Ups;three
Snoop Dogg;Kush Ups;two
Snoop Dogg;Kush Ups;one
Snoop Dogg;Kush Ups;workin'
Snoop Dogg;Kush Ups;out
Snoop Dogg;Kush Ups;chiefin'
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;creepin'
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;keepin'
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;with
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;joneses
Snoop Dogg;Kush Ups;smoke
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;zone
Snoop Dogg;Kush Ups;with
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;pen
Snoop Dogg;Kush Ups;pals
Snoop Dogg;Kush Ups;in
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;neighborhood
Snoop Dogg;Kush Ups;flavor
Snoop Dogg;Kush Ups;good
Snoop Dogg;Kush Ups;roll
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;put
Snoop Dogg;Kush Ups;some
Snoop Dogg;Kush Ups;papers
Snoop Dogg;Kush Ups;to
Snoop Dogg;Kush Ups;it
Snoop Dogg;Kush Ups;straight
Snoop Dogg;Kush Ups;into
Snoop Dogg;Kush Ups;it
Snoop Dogg;Kush Ups;gon'
Snoop Dogg;Kush Ups;make
Snoop Dogg;Kush Ups;him
Snoop Dogg;Kush Ups;do
Snoop Dogg;Kush Ups;it
Snoop Dogg;Kush Ups;that
Snoop Dogg;Kush Ups;thing
Snoop Dogg;Kush Ups;can
Snoop Dogg;Kush Ups;do
Snoop Dogg;Kush Ups;it
Snoop Dogg;Kush Ups;fo
Snoop Dogg;Kush Ups;sho
Snoop Dogg;Kush Ups;get
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;lift
Snoop Dogg;Kush Ups;on
Snoop Dogg;Kush Ups;while
Snoop Dogg;Kush Ups;get
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;spliff
Snoop Dogg;Kush Ups;on
Snoop Dogg;Kush Ups;fo
Snoop Dogg;Kush Ups;sho
Snoop Dogg;Kush Ups;break
Snoop Dogg;Kush Ups;bad
Snoop Dogg;Kush Ups;stay
Snoop Dogg;Kush Ups;cool
Snoop Dogg;Kush Ups;way
Snoop Dogg;Kush Ups;cool
Snoop Dogg;Kush Ups;roll
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;doob
Snoop Dogg;Kush Ups;old
Snoop Dogg;Kush Ups;school
Snoop Dogg;Kush Ups;paid
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;dues
Snoop Dogg;Kush Ups;spray
Snoop Dogg;Kush Ups;these
Snoop Dogg;Kush Ups;fools
Snoop Dogg;Kush Ups;ladies
Snoop Dogg;Kush Ups;drool
Snoop Dogg;Kush Ups;cause
Snoop Dogg;Kush Ups;they
Snoop Dogg;Kush Ups;know
Snoop Dogg;Kush Ups;what
Snoop Dogg;Kush Ups;i
Snoop Dogg;Kush Ups;got
Snoop Dogg;Kush Ups;i
Snoop Dogg;Kush Ups;got
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;bag
Snoop Dogg;Kush Ups;of
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;saturday
Snoop Dogg;Kush Ups;pot
Snoop Dogg;Kush Ups;and
Snoop Dogg;Kush Ups;it'll
Snoop Dogg;Kush Ups;keep
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;from
Snoop Dogg;Kush Ups;thursday
Snoop Dogg;Kush Ups;to
Snoop Dogg;Kush Ups;saturday
Snoop Dogg;Kush Ups;night
Snoop Dogg;Kush Ups;what
Snoop Dogg;Kush Ups;do
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;like
Snoop Dogg;Kush Ups;when
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;smoke
Snoop Dogg;Kush Ups;with
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;dogg
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;had
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;time
Snoop Dogg;Kush Ups;of
Snoop Dogg;Kush Ups;your
Snoop Dogg;Kush Ups;life
Snoop Dogg;Kush Ups;now
Snoop Dogg;Kush Ups;light
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;fatty
Snoop Dogg;Kush Ups;jump
Snoop Dogg;Kush Ups;in
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;cadi
Snoop Dogg;Kush Ups;pull
Snoop Dogg;Kush Ups;your
Snoop Dogg;Kush Ups;seat
Snoop Dogg;Kush Ups;back
Snoop Dogg;Kush Ups;yup
Snoop Dogg;Kush Ups;i
Snoop Dogg;Kush Ups;know
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;need
Snoop Dogg;Kush Ups;that
Snoop Dogg;Kush Ups;let
Snoop Dogg;Kush Ups;it
Snoop Dogg;Kush Ups;flow
Snoop Dogg;Kush Ups;set
Snoop Dogg;Kush Ups;it
Snoop Dogg;Kush Ups;go
Snoop Dogg;Kush Ups;incredible
Snoop Dogg;Kush Ups;that
Snoop Dogg;Kush Ups;ain't
Snoop Dogg;Kush Ups;gold
Snoop Dogg;Kush Ups;layin'
Snoop Dogg;Kush Ups;low
Snoop Dogg;Kush Ups;like
Snoop Dogg;Kush Ups;10
Snoop Dogg;Kush Ups;to
Snoop Dogg;Kush Ups;4
Snoop Dogg;Kush Ups;on
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;floor
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;weed
Snoop Dogg;Kush Ups;man
Snoop Dogg;Kush Ups;got
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;hook
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;rollin'
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;another
Snoop Dogg;Kush Ups;pound
Snoop Dogg;Kush Ups;e'rry
Snoop Dogg;Kush Ups;time
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;look
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;big-ass
Snoop Dogg;Kush Ups;joints
Snoop Dogg;Kush Ups;them
Snoop Dogg;Kush Ups;ones
Snoop Dogg;Kush Ups;that
Snoop Dogg;Kush Ups;leave
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;shook
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;so
Snoop Dogg;Kush Ups;much
Snoop Dogg;Kush Ups;weight
Snoop Dogg;Kush Ups;that
Snoop Dogg;Kush Ups;now
Snoop Dogg;Kush Ups;i'm
Snoop Dogg;Kush Ups;doin'
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;'bout
Snoop Dogg;Kush Ups;to
Snoop Dogg;Kush Ups;roll
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;whole
Snoop Dogg;Kush Ups;book
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;lookin'
Snoop Dogg;Kush Ups;for
Snoop Dogg;Kush Ups;me
Snoop Dogg;Kush Ups;i
Snoop Dogg;Kush Ups;was
Snoop Dogg;Kush Ups;at
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;crib
Snoop Dogg;Kush Ups;doin'
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;kush
Snoop Dogg;Kush Ups;ups
Snoop Dogg;Kush Ups;'bout
Snoop Dogg;Kush Ups;to
Snoop Dogg;Kush Ups;roll
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;whole
Snoop Dogg;Kush Ups;book
Snoop Dogg;Kush Ups;up
Snoop Dogg;Kush Ups;lookin'
Snoop Dogg;Kush Ups;for
Snoop Dogg;Kush Ups;me
Snoop Dogg;Kush Ups;i
Snoop Dogg;Kush Ups;was
Snoop Dogg;Kush Ups;at
Snoop Dogg;Kush Ups;the
Snoop Dogg;Kush Ups;crib
Snoop Dogg;Kush Ups;doin'
Snoop Dogg;Kush Ups;don't
Snoop Dogg;Kush Ups;stop
Snoop Dogg;Kush Ups;don't
Snoop Dogg;Kush Ups;even
Snoop Dogg;Kush Ups;trip
Snoop Dogg;Kush Ups;ain't
Snoop Dogg;Kush Ups;really
Snoop Dogg;Kush Ups;gotta
Snoop Dogg;Kush Ups;use
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;scale
Snoop Dogg;Kush Ups;i
Snoop Dogg;Kush Ups;could
Snoop Dogg;Kush Ups;eyeball
Snoop Dogg;Kush Ups;a
Snoop Dogg;Kush Ups;zip
Snoop Dogg;Kush Ups;so
Snoop Dogg;Kush Ups;much
Snoop Dogg;Kush Ups;weight
Snoop Dogg;Kush Ups;you
Snoop Dogg;Kush Ups;thinkin'
Snoop Dogg;Kush Ups;why
Snoop Dogg;Kush Ups;this
Snoop Dogg;Kush Ups;ain't
Snoop Dogg;Kush Ups;for
Snoop Dogg;Kush Ups;sale
Snoop Dogg;Kush Ups;weed
Snoop Dogg;Kush Ups;in
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;lungs
Snoop Dogg;Kush Ups;weed
Snoop Dogg;Kush Ups;in
Snoop Dogg;Kush Ups;my
Snoop Dogg;Kush Ups;nails
Snoop Dogg;Kush Ups;she
Snoop Dogg;Kush Ups;conin'
