artist_name;song_title;token
Snoop Dogg;One More Day;it
Snoop Dogg;One More Day;just
Snoop Dogg;One More Day;one
Snoop Dogg;One More Day;more
Snoop Dogg;One More Day;day
Snoop Dogg;One More Day;the
Snoop Dogg;One More Day;lord
Snoop Dogg;One More Day;has
Snoop Dogg;One More Day;kept
Snoop Dogg;One More Day;me
Snoop Dogg;One More Day;woah-woah-woah
Snoop Dogg;One More Day;oh
Snoop Dogg;One More Day;don't
Snoop Dogg;One More Day;rush
Snoop Dogg;One More Day;keep
Snoop Dogg;One More Day;the
Snoop Dogg;One More Day;pace
Snoop Dogg;One More Day;i'm
Snoop Dogg;One More Day;focused
Snoop Dogg;One More Day;on
Snoop Dogg;One More Day;my
Snoop Dogg;One More Day;goal
Snoop Dogg;One More Day;i
Snoop Dogg;One More Day;need
Snoop Dogg;One More Day;to
Snoop Dogg;One More Day;tell
Snoop Dogg;One More Day;the
Snoop Dogg;One More Day;story
Snoop Dogg;One More Day;yeah
Snoop Dogg;One More Day;get
Snoop Dogg;One More Day;together
Snoop Dogg;One More Day;in
Snoop Dogg;One More Day;a
Snoop Dogg;One More Day;state
Snoop Dogg;One More Day;to
Snoop Dogg;One More Day;make
Snoop Dogg;One More Day;me
Snoop Dogg;One More Day;great
Snoop Dogg;One More Day;even
Snoop Dogg;One More Day;when
Snoop Dogg;One More Day;i
Snoop Dogg;One More Day;fell
Snoop Dogg;One More Day;flat
Snoop Dogg;One More Day;on
Snoop Dogg;One More Day;my
Snoop Dogg;One More Day;face
Snoop Dogg;One More Day;you
Snoop Dogg;One More Day;gave
Snoop Dogg;One More Day;me
Snoop Dogg;One More Day;grace
Snoop Dogg;One More Day;lord
Snoop Dogg;One More Day;knows
Snoop Dogg;One More Day;that
Snoop Dogg;One More Day;i
Snoop Dogg;One More Day;haven't
Snoop Dogg;One More Day;been
Snoop Dogg;One More Day;an
Snoop Dogg;One More Day;angel
Snoop Dogg;One More Day;and
Snoop Dogg;One More Day;i'm
Snoop Dogg;One More Day;no
Snoop Dogg;One More Day;saint
Snoop Dogg;One More Day;it
Snoop Dogg;One More Day;just
Snoop Dogg;One More Day;one
