artist_name;song_title;token
Snoop Dogg;Rise To The Top;woo
Snoop Dogg;Rise To The Top;i'm
Snoop Dogg;Rise To The Top;tryna
Snoop Dogg;Rise To The Top;pull
Snoop Dogg;Rise To The Top;up
Snoop Dogg;Rise To The Top;to
Snoop Dogg;Rise To The Top;he
Snoop Dogg;Rise To The Top;coast
Snoop Dogg;Rise To The Top;line
Snoop Dogg;Rise To The Top;and
Snoop Dogg;Rise To The Top;ask
Snoop Dogg;Rise To The Top;whip
Snoop Dogg;Rise To The Top;with
Snoop Dogg;Rise To The Top;doc
Snoop Dogg;Rise To The Top;and
Snoop Dogg;Rise To The Top;mac
Snoop Dogg;Rise To The Top;ayy
Snoop Dogg;Rise To The Top;you
Snoop Dogg;Rise To The Top;know
Snoop Dogg;Rise To The Top;when
Snoop Dogg;Rise To The Top;you
Snoop Dogg;Rise To The Top;step
Snoop Dogg;Rise To The Top;on
Snoop Dogg;Rise To The Top;that
Snoop Dogg;Rise To The Top;300
Snoop Dogg;Rise To The Top;to
Snoop Dogg;Rise To The Top;500
Snoop Dogg;Rise To The Top;feet
Snoop Dogg;Rise To The Top;where
Snoop Dogg;Rise To The Top;towers
Snoop Dogg;Rise To The Top;is
Snoop Dogg;Rise To The Top;on
Snoop Dogg;Rise To The Top;deck
Snoop Dogg;Rise To The Top;with
Snoop Dogg;Rise To The Top;lemons
Snoop Dogg;Rise To The Top;on
Snoop Dogg;Rise To The Top;'em
Snoop Dogg;Rise To The Top;man
Snoop Dogg;Rise To The Top;help
Snoop Dogg;Rise To The Top;yourself
Snoop Dogg;Rise To The Top;ice
Snoop Dogg;Rise To The Top;cold
Snoop Dogg;Rise To The Top;mimosas
Snoop Dogg;Rise To The Top;and
Snoop Dogg;Rise To The Top;shit
Snoop Dogg;Rise To The Top;oh
Snoop Dogg;Rise To The Top;yeah
Snoop Dogg;Rise To The Top;it
Snoop Dogg;Rise To The Top;6
Snoop Dogg;Rise To The Top;am
Snoop Dogg;Rise To The Top;where
Snoop Dogg;Rise To The Top;i'm
Snoop Dogg;Rise To The Top;at
Snoop Dogg;Rise To The Top;cloud
Snoop Dogg;Rise To The Top;9
Snoop Dogg;Rise To The Top;to
Snoop Dogg;Rise To The Top;be
Snoop Dogg;Rise To The Top;exact
Snoop Dogg;Rise To The Top;cloud
Snoop Dogg;Rise To The Top;9
Snoop Dogg;Rise To The Top;to
Snoop Dogg;Rise To The Top;be
Snoop Dogg;Rise To The Top;exact
Snoop Dogg;Rise To The Top;woo
Snoop Dogg;Rise To The Top;woo
Snoop Dogg;Rise To The Top;i'm
Snoop Dogg;Rise To The Top;tryna
Snoop Dogg;Rise To The Top;pull
Snoop Dogg;Rise To The Top;up
Snoop Dogg;Rise To The Top;to
Snoop Dogg;Rise To The Top;he
