artist_name;song_title;token
Snoop Dogg;The Bidness;hey
Snoop Dogg;The Bidness;whats
Snoop Dogg;The Bidness;up
Snoop Dogg;The Bidness;my
Snoop Dogg;The Bidness;nig
Snoop Dogg;The Bidness;shit
Snoop Dogg;The Bidness;just
Snoop Dogg;The Bidness;chilling
Snoop Dogg;The Bidness;what
Snoop Dogg;The Bidness;happening
Snoop Dogg;The Bidness;shit
Snoop Dogg;The Bidness;nothing
Snoop Dogg;The Bidness;whatchu
Snoop Dogg;The Bidness;up
Snoop Dogg;The Bidness;to
Snoop Dogg;The Bidness;shit
Snoop Dogg;The Bidness;not
Snoop Dogg;The Bidness;too
Snoop Dogg;The Bidness;much
Snoop Dogg;The Bidness;hey
Snoop Dogg;The Bidness;you
Snoop Dogg;The Bidness;ain't
Snoop Dogg;The Bidness;seen
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;nigga
Snoop Dogg;The Bidness;snoop
Snoop Dogg;The Bidness;man
Snoop Dogg;The Bidness;hell
Snoop Dogg;The Bidness;no
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;been
Snoop Dogg;The Bidness;calling
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;nigga
Snoop Dogg;The Bidness;since
Snoop Dogg;The Bidness;starsky
Snoop Dogg;The Bidness;&
Snoop Dogg;The Bidness;hutch
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;ain't
Snoop Dogg;The Bidness;fin'
Snoop Dogg;The Bidness;to
Snoop Dogg;The Bidness;call
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;nigga
Snoop Dogg;The Bidness;no
Snoop Dogg;The Bidness;more
Snoop Dogg;The Bidness;man
Snoop Dogg;The Bidness;oh
Snoop Dogg;The Bidness;like
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;man
Snoop Dogg;The Bidness;f'real
Snoop Dogg;The Bidness;man
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;ain't
Snoop Dogg;The Bidness;buyin
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;new
Snoop Dogg;The Bidness;album
Snoop Dogg;The Bidness;either
Snoop Dogg;The Bidness;hey
Snoop Dogg;The Bidness;whats
Snoop Dogg;The Bidness;up
Snoop Dogg;The Bidness;my
Snoop Dogg;The Bidness;nig
Snoop Dogg;The Bidness;shit
Snoop Dogg;The Bidness;just
Snoop Dogg;The Bidness;chilling
Snoop Dogg;The Bidness;what
Snoop Dogg;The Bidness;happening
Snoop Dogg;The Bidness;shit
Snoop Dogg;The Bidness;nothing
Snoop Dogg;The Bidness;whatchu
Snoop Dogg;The Bidness;up
Snoop Dogg;The Bidness;to
Snoop Dogg;The Bidness;shit
Snoop Dogg;The Bidness;not
Snoop Dogg;The Bidness;too
Snoop Dogg;The Bidness;much
Snoop Dogg;The Bidness;hey
Snoop Dogg;The Bidness;you
Snoop Dogg;The Bidness;ain't
Snoop Dogg;The Bidness;seen
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;nigga
Snoop Dogg;The Bidness;snoop
Snoop Dogg;The Bidness;man
Snoop Dogg;The Bidness;hell
Snoop Dogg;The Bidness;no
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;been
Snoop Dogg;The Bidness;calling
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;nigga
Snoop Dogg;The Bidness;since
Snoop Dogg;The Bidness;starsky
Snoop Dogg;The Bidness;&
Snoop Dogg;The Bidness;hutch
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;ain't
Snoop Dogg;The Bidness;fin'
Snoop Dogg;The Bidness;to
Snoop Dogg;The Bidness;call
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;nigga
Snoop Dogg;The Bidness;no
Snoop Dogg;The Bidness;more
Snoop Dogg;The Bidness;man
Snoop Dogg;The Bidness;oh
Snoop Dogg;The Bidness;like
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;man
Snoop Dogg;The Bidness;f'real
Snoop Dogg;The Bidness;man
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;ain't
Snoop Dogg;The Bidness;buyin
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;new
Snoop Dogg;The Bidness;album
Snoop Dogg;The Bidness;either
Snoop Dogg;The Bidness;i'ma
Snoop Dogg;The Bidness;download
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;motherfucker
Snoop Dogg;The Bidness;for
Snoop Dogg;The Bidness;free
Snoop Dogg;The Bidness;let
Snoop Dogg;The Bidness;that
Snoop Dogg;The Bidness;nigga
Snoop Dogg;The Bidness;know
Snoop Dogg;The Bidness;when
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;see
Snoop Dogg;The Bidness;him
Snoop Dogg;The Bidness;man
Snoop Dogg;The Bidness;shit
Snoop Dogg;The Bidness;there
Snoop Dogg;The Bidness;he
Snoop Dogg;The Bidness;go
Snoop Dogg;The Bidness;right
Snoop Dogg;The Bidness;there
Snoop Dogg;The Bidness;huh
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;don't
Snoop Dogg;The Bidness;say
Snoop Dogg;The Bidness;much
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;don't
Snoop Dogg;The Bidness;say
Snoop Dogg;The Bidness;alize
Snoop Dogg;The Bidness;no
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;don't
Snoop Dogg;The Bidness;say
Snoop Dogg;The Bidness;dutch
Snoop Dogg;The Bidness;keep
Snoop Dogg;The Bidness;yo'
Snoop Dogg;The Bidness;hands
Snoop Dogg;The Bidness;off
Snoop Dogg;The Bidness;until
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;say
Snoop Dogg;The Bidness;okay
Snoop Dogg;The Bidness;touch
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;never
Snoop Dogg;The Bidness;come
Snoop Dogg;The Bidness;off
Snoop Dogg;The Bidness;tacky
Snoop Dogg;The Bidness;i'm
Snoop Dogg;The Bidness;a
Snoop Dogg;The Bidness;boss
Snoop Dogg;The Bidness;exactly
Snoop Dogg;The Bidness;i'm
Snoop Dogg;The Bidness;like
Snoop Dogg;The Bidness;the
Snoop Dogg;The Bidness;slick
Snoop Dogg;The Bidness;suit
Snoop Dogg;The Bidness;snooperfly
Snoop Dogg;The Bidness;versace
Snoop Dogg;The Bidness;conversation
Snoop Dogg;The Bidness;flashy
Snoop Dogg;The Bidness;y'all
Snoop Dogg;The Bidness;niggas
Snoop Dogg;The Bidness;can't
Snoop Dogg;The Bidness;match
Snoop Dogg;The Bidness;me
Snoop Dogg;The Bidness;i
Snoop Dogg;The Bidness;talk
Snoop Dogg;The Bidness;to
Snoop Dogg;The Bidness;you
Snoop Dogg;The Bidness;slow
Snoop Dogg;The Bidness;so
Snoop Dogg;The Bidness;your
Snoop Dogg;The Bidness;game
Snoop Dogg;The Bidness;can
Snoop Dogg;The Bidness;roll
Snoop Dogg;The Bidness;take
Snoop Dogg;The Bidness;advice
Snoop Dogg;The Bidness;from
Snoop Dogg;The Bidness;a
Snoop Dogg;The Bidness;player
Snoop Dogg;The Bidness;don't
Snoop Dogg;The Bidness;love
Snoop Dogg;The Bidness;her
Snoop Dogg;The Bidness;just
Snoop Dogg;The Bidness;play
Snoop Dogg;The Bidness;her
Snoop Dogg;The Bidness;boy
