artist_name;song_title;token
Snoop Dogg;Too High (Poly High);introbig
Snoop Dogg;Too High (Poly High);pimpin'
Snoop Dogg;Too High (Poly High);_just
Snoop Dogg;Too High (Poly High);anotha
Snoop Dogg;Too High (Poly High);day
Snoop Dogg;Too High (Poly High);in
Snoop Dogg;Too High (Poly High);the
Snoop Dogg;Too High (Poly High);mothafuckin'
Snoop Dogg;Too High (Poly High);neighborhood
Snoop Dogg;Too High (Poly High);a
Snoop Dogg;Too High (Poly High);pimp
Snoop Dogg;Too High (Poly High);wakin'
Snoop Dogg;Too High (Poly High);up
Snoop Dogg;Too High (Poly High);and
Snoop Dogg;Too High (Poly High);he
Snoop Dogg;Too High (Poly High);feelin'
Snoop Dogg;Too High (Poly High);good
Snoop Dogg;Too High (Poly High);verse
Snoop Dogg;Too High (Poly High);ashe
Snoop Dogg;Too High (Poly High);to
Snoop Dogg;Too High (Poly High);the
Snoop Dogg;Too High (Poly High);flow
Snoop Dogg;Too High (Poly High);and
Snoop Dogg;Too High (Poly High);even
Snoop Dogg;Too High (Poly High);if
Snoop Dogg;Too High (Poly High);they
Snoop Dogg;Too High (Poly High);mess
Snoop Dogg;Too High (Poly High);to
Snoop Dogg;Too High (Poly High);tellin'
Snoop Dogg;Too High (Poly High);made
Snoop Dogg;Too High (Poly High);shit
Snoop Dogg;Too High (Poly High);today
Snoop Dogg;Too High (Poly High);uhmm
Snoop Dogg;Too High (Poly High);smelling
Snoop Dogg;Too High (Poly High);good
Snoop Dogg;Too High (Poly High);in
Snoop Dogg;Too High (Poly High);this
Snoop Dogg;Too High (Poly High);rep'
Snoop Dogg;Too High (Poly High);thousand
Snoop Dogg;Too High (Poly High);for
Snoop Dogg;Too High (Poly High);sure
Snoop Dogg;Too High (Poly High);snoop
Snoop Dogg;Too High (Poly High);_im
Snoop Dogg;Too High (Poly High);waking
Snoop Dogg;Too High (Poly High);up
Snoop Dogg;Too High (Poly High);in
Snoop Dogg;Too High (Poly High);the
Snoop Dogg;Too High (Poly High);morning
Snoop Dogg;Too High (Poly High);man
Snoop Dogg;Too High (Poly High);oh
Snoop Dogg;Too High (Poly High);man
Snoop Dogg;Too High (Poly High);what
Snoop Dogg;Too High (Poly High);wrong
Snoop Dogg;Too High (Poly High);introbig
Snoop Dogg;Too High (Poly High);pimpin'
Snoop Dogg;Too High (Poly High);_just
Snoop Dogg;Too High (Poly High);anotha
Snoop Dogg;Too High (Poly High);day
Snoop Dogg;Too High (Poly High);in
Snoop Dogg;Too High (Poly High);the
Snoop Dogg;Too High (Poly High);mothafuckin'
Snoop Dogg;Too High (Poly High);neighborhood
Snoop Dogg;Too High (Poly High);a
Snoop Dogg;Too High (Poly High);pimp
Snoop Dogg;Too High (Poly High);wakin'
Snoop Dogg;Too High (Poly High);up
Snoop Dogg;Too High (Poly High);and
Snoop Dogg;Too High (Poly High);he
Snoop Dogg;Too High (Poly High);feelin'
Snoop Dogg;Too High (Poly High);good
Snoop Dogg;Too High (Poly High);verse
Snoop Dogg;Too High (Poly High);ashe
Snoop Dogg;Too High (Poly High);to
Snoop Dogg;Too High (Poly High);the
Snoop Dogg;Too High (Poly High);flow
Snoop Dogg;Too High (Poly High);and
Snoop Dogg;Too High (Poly High);even
Snoop Dogg;Too High (Poly High);if
Snoop Dogg;Too High (Poly High);they
Snoop Dogg;Too High (Poly High);mess
Snoop Dogg;Too High (Poly High);to
Snoop Dogg;Too High (Poly High);tellin'
Snoop Dogg;Too High (Poly High);made
Snoop Dogg;Too High (Poly High);shit
Snoop Dogg;Too High (Poly High);today
Snoop Dogg;Too High (Poly High);uhmm
Snoop Dogg;Too High (Poly High);smelling
Snoop Dogg;Too High (Poly High);good
Snoop Dogg;Too High (Poly High);in
Snoop Dogg;Too High (Poly High);this
Snoop Dogg;Too High (Poly High);rep'
Snoop Dogg;Too High (Poly High);thousand
Snoop Dogg;Too High (Poly High);for
Snoop Dogg;Too High (Poly High);sure
Snoop Dogg;Too High (Poly High);snoop
Snoop Dogg;Too High (Poly High);_im
Snoop Dogg;Too High (Poly High);waking
Snoop Dogg;Too High (Poly High);up
Snoop Dogg;Too High (Poly High);in
Snoop Dogg;Too High (Poly High);the
Snoop Dogg;Too High (Poly High);morning
Snoop Dogg;Too High (Poly High);man
Snoop Dogg;Too High (Poly High);oh
Snoop Dogg;Too High (Poly High);man
Snoop Dogg;Too High (Poly High);what
Snoop Dogg;Too High (Poly High);wrong
Snoop Dogg;Too High (Poly High);my
Snoop Dogg;Too High (Poly High);nigga
Snoop Dogg;Too High (Poly High);coolio
Snoop Dogg;Too High (Poly High);gone
Snoop Dogg;Too High (Poly High);and
Snoop Dogg;Too High (Poly High);i'm
Snoop Dogg;Too High (Poly High);zoned
Snoop Dogg;Too High (Poly High);but
Snoop Dogg;Too High (Poly High);i'm
Snoop Dogg;Too High (Poly High);balled
Snoop Dogg;Too High (Poly High);had
Snoop Dogg;Too High (Poly High);to
Snoop Dogg;Too High (Poly High);school
Snoop Dogg;Too High (Poly High);'cause
Snoop Dogg;Too High (Poly High);i
Snoop Dogg;Too High (Poly High);can't
Snoop Dogg;Too High (Poly High);be
Snoop Dogg;Too High (Poly High);late
Snoop Dogg;Too High (Poly High);'cause
Snoop Dogg;Too High (Poly High);they
Snoop Dogg;Too High (Poly High);unlock
Snoop Dogg;Too High (Poly High);the
Snoop Dogg;Too High (Poly High);gate
Snoop Dogg;Too High (Poly High);and
Snoop Dogg;Too High (Poly High);these
Snoop Dogg;Too High (Poly High);damn
