artist_name;song_title;token
Spice Girls;The Lady Is A Vamp;elvis
Spice Girls;The Lady Is A Vamp;was
Spice Girls;The Lady Is A Vamp;a
Spice Girls;The Lady Is A Vamp;coola
Spice Girls;The Lady Is A Vamp;shaker
Spice Girls;The Lady Is A Vamp;marley,
Spice Girls;The Lady Is A Vamp;ziggy,
Spice Girls;The Lady Is A Vamp;melody
Spice Girls;The Lady Is A Vamp;makers
Spice Girls;The Lady Is A Vamp;she's
Spice Girls;The Lady Is A Vamp;a
Spice Girls;The Lady Is A Vamp;bond
Spice Girls;The Lady Is A Vamp;babe,
Spice Girls;The Lady Is A Vamp;kick
Spice Girls;The Lady Is A Vamp;some
Spice Girls;The Lady Is A Vamp;ass
Spice Girls;The Lady Is A Vamp;doctor
Spice Girls;The Lady Is A Vamp;no,
Spice Girls;The Lady Is A Vamp;this
Spice Girls;The Lady Is A Vamp;girl's
Spice Girls;The Lady Is A Vamp;got
Spice Girls;The Lady Is A Vamp;class
Spice Girls;The Lady Is A Vamp;charlies
Spice Girls;The Lady Is A Vamp;angels,
Spice Girls;The Lady Is A Vamp;girls
Spice Girls;The Lady Is A Vamp;on
Spice Girls;The Lady Is A Vamp;top
Spice Girls;The Lady Is A Vamp;handbags,
Spice Girls;The Lady Is A Vamp;heels,
Spice Girls;The Lady Is A Vamp;their
Spice Girls;The Lady Is A Vamp;pistols
Spice Girls;The Lady Is A Vamp;rock
Spice Girls;The Lady Is A Vamp;"""baby"
Spice Girls;The Lady Is A Vamp;"love"","
Spice Girls;The Lady Is A Vamp;so
Spice Girls;The Lady Is A Vamp;glam
Spice Girls;The Lady Is A Vamp;queen
Spice Girls;The Lady Is A Vamp;sing
Spice Girls;The Lady Is A Vamp;the
Spice Girls;The Lady Is A Vamp;blues,
Spice Girls;The Lady Is A Vamp;a
Spice Girls;The Lady Is A Vamp;love
Spice Girls;The Lady Is A Vamp;supreme
Spice Girls;The Lady Is A Vamp;sixties,
Spice Girls;The Lady Is A Vamp;twiggy
Spice Girls;The Lady Is A Vamp;set
Spice Girls;The Lady Is A Vamp;the
Spice Girls;The Lady Is A Vamp;pace
Spice Girls;The Lady Is A Vamp;way
Spice Girls;The Lady Is A Vamp;back
Spice Girls;The Lady Is A Vamp;then
Spice Girls;The Lady Is A Vamp;she
Spice Girls;The Lady Is A Vamp;had
Spice Girls;The Lady Is A Vamp;the
Spice Girls;The Lady Is A Vamp;face
Spice Girls;The Lady Is A Vamp;elvis
Spice Girls;The Lady Is A Vamp;was
Spice Girls;The Lady Is A Vamp;a
Spice Girls;The Lady Is A Vamp;coola
Spice Girls;The Lady Is A Vamp;shaker
Spice Girls;The Lady Is A Vamp;marley,
Spice Girls;The Lady Is A Vamp;ziggy,
Spice Girls;The Lady Is A Vamp;melody
Spice Girls;The Lady Is A Vamp;makers
Spice Girls;The Lady Is A Vamp;she's
Spice Girls;The Lady Is A Vamp;a
Spice Girls;The Lady Is A Vamp;bond
Spice Girls;The Lady Is A Vamp;babe,
Spice Girls;The Lady Is A Vamp;kick
Spice Girls;The Lady Is A Vamp;some
Spice Girls;The Lady Is A Vamp;ass
Spice Girls;The Lady Is A Vamp;doctor
Spice Girls;The Lady Is A Vamp;no,
Spice Girls;The Lady Is A Vamp;this
Spice Girls;The Lady Is A Vamp;girl's
Spice Girls;The Lady Is A Vamp;got
Spice Girls;The Lady Is A Vamp;class
Spice Girls;The Lady Is A Vamp;charlies
Spice Girls;The Lady Is A Vamp;angels,
Spice Girls;The Lady Is A Vamp;girls
Spice Girls;The Lady Is A Vamp;on
Spice Girls;The Lady Is A Vamp;top
Spice Girls;The Lady Is A Vamp;handbags,
Spice Girls;The Lady Is A Vamp;heels,
Spice Girls;The Lady Is A Vamp;their
Spice Girls;The Lady Is A Vamp;pistols
Spice Girls;The Lady Is A Vamp;rock
Spice Girls;The Lady Is A Vamp;"""baby"
Spice Girls;The Lady Is A Vamp;"love"","
Spice Girls;The Lady Is A Vamp;so
Spice Girls;The Lady Is A Vamp;glam
Spice Girls;The Lady Is A Vamp;queen
Spice Girls;The Lady Is A Vamp;sing
Spice Girls;The Lady Is A Vamp;the
Spice Girls;The Lady Is A Vamp;blues,
Spice Girls;The Lady Is A Vamp;a
Spice Girls;The Lady Is A Vamp;love
Spice Girls;The Lady Is A Vamp;supreme
Spice Girls;The Lady Is A Vamp;sixties,
Spice Girls;The Lady Is A Vamp;twiggy
Spice Girls;The Lady Is A Vamp;set
Spice Girls;The Lady Is A Vamp;the
Spice Girls;The Lady Is A Vamp;pace
Spice Girls;The Lady Is A Vamp;way
Spice Girls;The Lady Is A Vamp;back
Spice Girls;The Lady Is A Vamp;then
Spice Girls;The Lady Is A Vamp;she
Spice Girls;The Lady Is A Vamp;had
Spice Girls;The Lady Is A Vamp;the
Spice Girls;The Lady Is A Vamp;face
Spice Girls;The Lady Is A Vamp;that's
Spice Girls;The Lady Is A Vamp;all
Spice Girls;The Lady Is A Vamp;in
Spice Girls;The Lady Is A Vamp;the
Spice Girls;The Lady Is A Vamp;past,
Spice Girls;The Lady Is A Vamp;legends
Spice Girls;The Lady Is A Vamp;built
Spice Girls;The Lady Is A Vamp;to
Spice Girls;The Lady Is A Vamp;last
Spice Girls;The Lady Is A Vamp;but
Spice Girls;The Lady Is A Vamp;she's
Spice Girls;The Lady Is A Vamp;got
Spice Girls;The Lady Is A Vamp;something
Spice Girls;The Lady Is A Vamp;new
Spice Girls;The Lady Is A Vamp;she's
Spice Girls;The Lady Is A Vamp;a
Spice Girls;The Lady Is A Vamp;power
Spice Girls;The Lady Is A Vamp;girl
Spice Girls;The Lady Is A Vamp;in
Spice Girls;The Lady Is A Vamp;a
Spice Girls;The Lady Is A Vamp;nineties
Spice Girls;The Lady Is A Vamp;world
