artist_name;song_title;token
Taylor Swift;American Girl;well,
Taylor Swift;American Girl;she
Taylor Swift;American Girl;was
Taylor Swift;American Girl;an
Taylor Swift;American Girl;american
Taylor Swift;American Girl;girl
Taylor Swift;American Girl;raised
Taylor Swift;American Girl;on
Taylor Swift;American Girl;promises
Taylor Swift;American Girl;she
Taylor Swift;American Girl;couldn't
Taylor Swift;American Girl;help
Taylor Swift;American Girl;thinking
Taylor Swift;American Girl;that
Taylor Swift;American Girl;there
Taylor Swift;American Girl;was
Taylor Swift;American Girl;a
Taylor Swift;American Girl;little
Taylor Swift;American Girl;more
Taylor Swift;American Girl;to
Taylor Swift;American Girl;life,
Taylor Swift;American Girl;somewhere
Taylor Swift;American Girl;else
Taylor Swift;American Girl;after
Taylor Swift;American Girl;all
Taylor Swift;American Girl;it
Taylor Swift;American Girl;was
Taylor Swift;American Girl;a
Taylor Swift;American Girl;great
Taylor Swift;American Girl;big
Taylor Swift;American Girl;world
Taylor Swift;American Girl;with
Taylor Swift;American Girl;lots
Taylor Swift;American Girl;of
Taylor Swift;American Girl;places
Taylor Swift;American Girl;to
Taylor Swift;American Girl;run
Taylor Swift;American Girl;to
Taylor Swift;American Girl;and
Taylor Swift;American Girl;if
Taylor Swift;American Girl;she
Taylor Swift;American Girl;had
Taylor Swift;American Girl;to
Taylor Swift;American Girl;die
Taylor Swift;American Girl;trying
Taylor Swift;American Girl;she
Taylor Swift;American Girl;had
Taylor Swift;American Girl;one
Taylor Swift;American Girl;little
Taylor Swift;American Girl;promise,
Taylor Swift;American Girl;she
Taylor Swift;American Girl;was
Taylor Swift;American Girl;gonna
Taylor Swift;American Girl;keep
Taylor Swift;American Girl;oh
Taylor Swift;American Girl;yeah,
Taylor Swift;American Girl;all
Taylor Swift;American Girl;right
Taylor Swift;American Girl;take
Taylor Swift;American Girl;it
Taylor Swift;American Girl;easy,
Taylor Swift;American Girl;baby
Taylor Swift;American Girl;well,
Taylor Swift;American Girl;she
Taylor Swift;American Girl;was
Taylor Swift;American Girl;an
Taylor Swift;American Girl;american
Taylor Swift;American Girl;girl
Taylor Swift;American Girl;raised
Taylor Swift;American Girl;on
Taylor Swift;American Girl;promises
Taylor Swift;American Girl;she
Taylor Swift;American Girl;couldn't
Taylor Swift;American Girl;help
Taylor Swift;American Girl;thinking
Taylor Swift;American Girl;that
Taylor Swift;American Girl;there
Taylor Swift;American Girl;was
Taylor Swift;American Girl;a
Taylor Swift;American Girl;little
Taylor Swift;American Girl;more
Taylor Swift;American Girl;to
Taylor Swift;American Girl;life,
Taylor Swift;American Girl;somewhere
Taylor Swift;American Girl;else
Taylor Swift;American Girl;after
Taylor Swift;American Girl;all
Taylor Swift;American Girl;it
Taylor Swift;American Girl;was
Taylor Swift;American Girl;a
Taylor Swift;American Girl;great
Taylor Swift;American Girl;big
Taylor Swift;American Girl;world
Taylor Swift;American Girl;with
Taylor Swift;American Girl;lots
Taylor Swift;American Girl;of
Taylor Swift;American Girl;places
Taylor Swift;American Girl;to
Taylor Swift;American Girl;run
Taylor Swift;American Girl;to
Taylor Swift;American Girl;and
Taylor Swift;American Girl;if
Taylor Swift;American Girl;she
Taylor Swift;American Girl;had
Taylor Swift;American Girl;to
Taylor Swift;American Girl;die
Taylor Swift;American Girl;trying
Taylor Swift;American Girl;she
Taylor Swift;American Girl;had
Taylor Swift;American Girl;one
Taylor Swift;American Girl;little
Taylor Swift;American Girl;promise,
Taylor Swift;American Girl;she
Taylor Swift;American Girl;was
Taylor Swift;American Girl;gonna
Taylor Swift;American Girl;keep
Taylor Swift;American Girl;oh
Taylor Swift;American Girl;yeah,
Taylor Swift;American Girl;all
Taylor Swift;American Girl;right
Taylor Swift;American Girl;take
Taylor Swift;American Girl;it
Taylor Swift;American Girl;easy,
Taylor Swift;American Girl;baby
Taylor Swift;American Girl;make
Taylor Swift;American Girl;it
Taylor Swift;American Girl;last
Taylor Swift;American Girl;all
Taylor Swift;American Girl;night
Taylor Swift;American Girl;she
Taylor Swift;American Girl;was
Taylor Swift;American Girl;an
Taylor Swift;American Girl;american
Taylor Swift;American Girl;girl
Taylor Swift;American Girl;well,
Taylor Swift;American Girl;it
Taylor Swift;American Girl;was
Taylor Swift;American Girl;kind
Taylor Swift;American Girl;of
Taylor Swift;American Girl;cold
Taylor Swift;American Girl;that
Taylor Swift;American Girl;night
Taylor Swift;American Girl;she
Taylor Swift;American Girl;stood
Taylor Swift;American Girl;alone
Taylor Swift;American Girl;on
Taylor Swift;American Girl;her
Taylor Swift;American Girl;balcony
Taylor Swift;American Girl;and
Taylor Swift;American Girl;she
Taylor Swift;American Girl;could
Taylor Swift;American Girl;see
Taylor Swift;American Girl;the
Taylor Swift;American Girl;cars
Taylor Swift;American Girl;roll
Taylor Swift;American Girl;by,
Taylor Swift;American Girl;out
Taylor Swift;American Girl;on
Taylor Swift;American Girl;441
Taylor Swift;American Girl;like
Taylor Swift;American Girl;waves
Taylor Swift;American Girl;crashin'
Taylor Swift;American Girl;on
Taylor Swift;American Girl;the
Taylor Swift;American Girl;beach
Taylor Swift;American Girl;and
Taylor Swift;American Girl;for
Taylor Swift;American Girl;one
Taylor Swift;American Girl;desperate
Taylor Swift;American Girl;moment
Taylor Swift;American Girl;there
Taylor Swift;American Girl;he
Taylor Swift;American Girl;crept
Taylor Swift;American Girl;back
Taylor Swift;American Girl;in
Taylor Swift;American Girl;her
Taylor Swift;American Girl;memory
Taylor Swift;American Girl;god,
Taylor Swift;American Girl;it's
Taylor Swift;American Girl;so
Taylor Swift;American Girl;painful
Taylor Swift;American Girl;it's
Taylor Swift;American Girl;something
Taylor Swift;American Girl;that's
Taylor Swift;American Girl;so
Taylor Swift;American Girl;close
Taylor Swift;American Girl;and
Taylor Swift;American Girl;still
Taylor Swift;American Girl;so
Taylor Swift;American Girl;far
Taylor Swift;American Girl;out
Taylor Swift;American Girl;of
Taylor Swift;American Girl;reach,
Taylor Swift;American Girl;yeah
Taylor Swift;American Girl;oh
Taylor Swift;American Girl;yeah,
Taylor Swift;American Girl;all
Taylor Swift;American Girl;right
Taylor Swift;American Girl;you
Taylor Swift;American Girl;take
Taylor Swift;American Girl;it
Taylor Swift;American Girl;easy,
Taylor Swift;American Girl;baby
Taylor Swift;American Girl;make
Taylor Swift;American Girl;it
Taylor Swift;American Girl;last
Taylor Swift;American Girl;all
Taylor Swift;American Girl;night
Taylor Swift;American Girl;she
Taylor Swift;American Girl;was
Taylor Swift;American Girl;an
Taylor Swift;American Girl;american
Taylor Swift;American Girl;girl
Taylor Swift;American Girl;oh
Taylor Swift;American Girl;yeah,
Taylor Swift;American Girl;all
Taylor Swift;American Girl;right
Taylor Swift;American Girl;take
Taylor Swift;American Girl;it
Taylor Swift;American Girl;easy,
Taylor Swift;American Girl;baby
Taylor Swift;American Girl;make
Taylor Swift;American Girl;it
Taylor Swift;American Girl;last
Taylor Swift;American Girl;all
Taylor Swift;American Girl;night
Taylor Swift;American Girl;she
Taylor Swift;American Girl;was
Taylor Swift;American Girl;an
Taylor Swift;American Girl;american
Taylor Swift;American Girl;girl
Taylor Swift;American Girl;oh
Taylor Swift;American Girl;yeah,
Taylor Swift;American Girl;all
Taylor Swift;American Girl;right
Taylor Swift;American Girl;take
Taylor Swift;American Girl;it
Taylor Swift;American Girl;easy,
Taylor Swift;American Girl;baby
Taylor Swift;American Girl;make
Taylor Swift;American Girl;it
Taylor Swift;American Girl;last
Taylor Swift;American Girl;all
Taylor Swift;American Girl;night
Taylor Swift;American Girl;she
Taylor Swift;American Girl;was
Taylor Swift;American Girl;an
Taylor Swift;American Girl;american
Taylor Swift;American Girl;girl
Taylor Swift;American Girl;oh
Taylor Swift;American Girl;she
Taylor Swift;American Girl;was
Taylor Swift;American Girl;an
Taylor Swift;American Girl;american
Taylor Swift;American Girl;girl
