artist_name;song_title;token
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;all
Taylor Swift;New Romantics;bored
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;all
Taylor Swift;New Romantics;so
Taylor Swift;New Romantics;tired
Taylor Swift;New Romantics;of
Taylor Swift;New Romantics;everything
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;wait
Taylor Swift;New Romantics;for
Taylor Swift;New Romantics;trains
Taylor Swift;New Romantics;that
Taylor Swift;New Romantics;just
Taylor Swift;New Romantics;aren't
Taylor Swift;New Romantics;coming
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;show
Taylor Swift;New Romantics;off
Taylor Swift;New Romantics;our
Taylor Swift;New Romantics;different
Taylor Swift;New Romantics;scarlet
Taylor Swift;New Romantics;letters
Taylor Swift;New Romantics;trust
Taylor Swift;New Romantics;me,
Taylor Swift;New Romantics;mine
Taylor Swift;New Romantics;is
Taylor Swift;New Romantics;better
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;so
Taylor Swift;New Romantics;young
Taylor Swift;New Romantics;but
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;on
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;road
Taylor Swift;New Romantics;to
Taylor Swift;New Romantics;ruin
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;play
Taylor Swift;New Romantics;dumb
Taylor Swift;New Romantics;but
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;know
Taylor Swift;New Romantics;exactly
Taylor Swift;New Romantics;what
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;doin'
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;cry
Taylor Swift;New Romantics;tears
Taylor Swift;New Romantics;of
Taylor Swift;New Romantics;mascara
Taylor Swift;New Romantics;in
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;bathroom
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;all
Taylor Swift;New Romantics;bored
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;all
Taylor Swift;New Romantics;so
Taylor Swift;New Romantics;tired
Taylor Swift;New Romantics;of
Taylor Swift;New Romantics;everything
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;wait
Taylor Swift;New Romantics;for
Taylor Swift;New Romantics;trains
Taylor Swift;New Romantics;that
Taylor Swift;New Romantics;just
Taylor Swift;New Romantics;aren't
Taylor Swift;New Romantics;coming
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;show
Taylor Swift;New Romantics;off
Taylor Swift;New Romantics;our
Taylor Swift;New Romantics;different
Taylor Swift;New Romantics;scarlet
Taylor Swift;New Romantics;letters
Taylor Swift;New Romantics;trust
Taylor Swift;New Romantics;me,
Taylor Swift;New Romantics;mine
Taylor Swift;New Romantics;is
Taylor Swift;New Romantics;better
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;so
Taylor Swift;New Romantics;young
Taylor Swift;New Romantics;but
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;on
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;road
Taylor Swift;New Romantics;to
Taylor Swift;New Romantics;ruin
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;play
Taylor Swift;New Romantics;dumb
Taylor Swift;New Romantics;but
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;know
Taylor Swift;New Romantics;exactly
Taylor Swift;New Romantics;what
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;doin'
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;cry
Taylor Swift;New Romantics;tears
Taylor Swift;New Romantics;of
Taylor Swift;New Romantics;mascara
Taylor Swift;New Romantics;in
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;bathroom
Taylor Swift;New Romantics;honey,
Taylor Swift;New Romantics;life
Taylor Swift;New Romantics;is
Taylor Swift;New Romantics;just
Taylor Swift;New Romantics;a
Taylor Swift;New Romantics;classroom
Taylor Swift;New Romantics;(ah-ah-ah-ah-ah-ah)
Taylor Swift;New Romantics;'cause
Taylor Swift;New Romantics;baby,
Taylor Swift;New Romantics;i
Taylor Swift;New Romantics;could
Taylor Swift;New Romantics;build
Taylor Swift;New Romantics;a
Taylor Swift;New Romantics;castle
Taylor Swift;New Romantics;out
Taylor Swift;New Romantics;of
Taylor Swift;New Romantics;all
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;bricks
Taylor Swift;New Romantics;they
Taylor Swift;New Romantics;threw
Taylor Swift;New Romantics;at
Taylor Swift;New Romantics;me
Taylor Swift;New Romantics;and
Taylor Swift;New Romantics;every
Taylor Swift;New Romantics;day
Taylor Swift;New Romantics;is
Taylor Swift;New Romantics;like
Taylor Swift;New Romantics;a
Taylor Swift;New Romantics;battle
Taylor Swift;New Romantics;but
Taylor Swift;New Romantics;every
Taylor Swift;New Romantics;night
Taylor Swift;New Romantics;with
Taylor Swift;New Romantics;us
Taylor Swift;New Romantics;is
Taylor Swift;New Romantics;like
Taylor Swift;New Romantics;a
Taylor Swift;New Romantics;dream
Taylor Swift;New Romantics;baby,
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;new
Taylor Swift;New Romantics;romantics
Taylor Swift;New Romantics;come
Taylor Swift;New Romantics;on,
Taylor Swift;New Romantics;come
Taylor Swift;New Romantics;along
Taylor Swift;New Romantics;with
Taylor Swift;New Romantics;me
Taylor Swift;New Romantics;heartbreak
Taylor Swift;New Romantics;is
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;national
Taylor Swift;New Romantics;anthem
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;sing
Taylor Swift;New Romantics;it
Taylor Swift;New Romantics;proudly
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;are
Taylor Swift;New Romantics;too
Taylor Swift;New Romantics;busy
Taylor Swift;New Romantics;dancing
Taylor Swift;New Romantics;to
Taylor Swift;New Romantics;get
Taylor Swift;New Romantics;knocked
Taylor Swift;New Romantics;off
Taylor Swift;New Romantics;our
Taylor Swift;New Romantics;feet
Taylor Swift;New Romantics;baby,
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;new
Taylor Swift;New Romantics;romantics
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;best
Taylor Swift;New Romantics;people
Taylor Swift;New Romantics;in
Taylor Swift;New Romantics;life
Taylor Swift;New Romantics;are
Taylor Swift;New Romantics;free
Taylor Swift;New Romantics;we're
Taylor Swift;New Romantics;all
Taylor Swift;New Romantics;here
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;lights
Taylor Swift;New Romantics;and
Taylor Swift;New Romantics;noise
Taylor Swift;New Romantics;are
Taylor Swift;New Romantics;blinding
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;hang
Taylor Swift;New Romantics;back
Taylor Swift;New Romantics;it's
Taylor Swift;New Romantics;all
Taylor Swift;New Romantics;in
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;timing
Taylor Swift;New Romantics;it's
Taylor Swift;New Romantics;poker
Taylor Swift;New Romantics;you
Taylor Swift;New Romantics;can't
Taylor Swift;New Romantics;see
Taylor Swift;New Romantics;it
Taylor Swift;New Romantics;in
Taylor Swift;New Romantics;my
Taylor Swift;New Romantics;face
Taylor Swift;New Romantics;but
Taylor Swift;New Romantics;i'm
Taylor Swift;New Romantics;about
Taylor Swift;New Romantics;to
Taylor Swift;New Romantics;play
Taylor Swift;New Romantics;my
Taylor Swift;New Romantics;ace
Taylor Swift;New Romantics;(ah)
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;need
Taylor Swift;New Romantics;love
Taylor Swift;New Romantics;but
Taylor Swift;New Romantics;all
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;want
Taylor Swift;New Romantics;is
Taylor Swift;New Romantics;danger
Taylor Swift;New Romantics;we
Taylor Swift;New Romantics;team
Taylor Swift;New Romantics;up
Taylor Swift;New Romantics;then
Taylor Swift;New Romantics;switch
Taylor Swift;New Romantics;sides
Taylor Swift;New Romantics;like
Taylor Swift;New Romantics;a
Taylor Swift;New Romantics;record
Taylor Swift;New Romantics;changer
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;rumors
Taylor Swift;New Romantics;are
Taylor Swift;New Romantics;terrible
Taylor Swift;New Romantics;and
Taylor Swift;New Romantics;cruel
Taylor Swift;New Romantics;but
Taylor Swift;New Romantics;honey,
Taylor Swift;New Romantics;most
Taylor Swift;New Romantics;of
Taylor Swift;New Romantics;them
Taylor Swift;New Romantics;are
Taylor Swift;New Romantics;true
Taylor Swift;New Romantics;(ah-ah-ah-ah-ah-ah)
Taylor Swift;New Romantics;'cause
Taylor Swift;New Romantics;baby,
Taylor Swift;New Romantics;i
Taylor Swift;New Romantics;could
Taylor Swift;New Romantics;build
Taylor Swift;New Romantics;a
Taylor Swift;New Romantics;castle
Taylor Swift;New Romantics;out
Taylor Swift;New Romantics;of
Taylor Swift;New Romantics;all
Taylor Swift;New Romantics;the
Taylor Swift;New Romantics;bricks
Taylor Swift;New Romantics;they
Taylor Swift;New Romantics;threw
Taylor Swift;New Romantics;at
Taylor Swift;New Romantics;me
Taylor Swift;New Romantics;and
Taylor Swift;New Romantics;every
Taylor Swift;New Romantics;day
Taylor Swift;New Romantics;is
Taylor Swift;New Romantics;like
Taylor Swift;New Romantics;a
Taylor Swift;New Romantics;battle
Taylor Swift;New Romantics;but
Taylor Swift;New Romantics;every
Taylor Swift;New Romantics;night
Taylor Swift;New Romantics;with
Taylor Swift;New Romantics;us
Taylor Swift;New Romantics;is
Taylor Swift;New Romantics;like
Taylor Swift;New Romantics;a
Taylor Swift;New Romantics;dream
