artist_name;song_title;token
Taylor Swift;This Here Guitar;walking
Taylor Swift;This Here Guitar;downtown
Taylor Swift;This Here Guitar;shuffling
Taylor Swift;This Here Guitar;my
Taylor Swift;This Here Guitar;feet
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;try
Taylor Swift;This Here Guitar;to
Taylor Swift;This Here Guitar;dream
Taylor Swift;This Here Guitar;my
Taylor Swift;This Here Guitar;dreams
Taylor Swift;This Here Guitar;above
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;concrete
Taylor Swift;This Here Guitar;store
Taylor Swift;This Here Guitar;windows,
Taylor Swift;This Here Guitar;traveled
Taylor Swift;This Here Guitar;for
Taylor Swift;This Here Guitar;miles
Taylor Swift;This Here Guitar;but
Taylor Swift;This Here Guitar;something
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;passed
Taylor Swift;This Here Guitar;really
Taylor Swift;This Here Guitar;caught
Taylor Swift;This Here Guitar;my
Taylor Swift;This Here Guitar;eye
Taylor Swift;This Here Guitar;it
Taylor Swift;This Here Guitar;was
Taylor Swift;This Here Guitar;cracked
Taylor Swift;This Here Guitar;down
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;middle,
Taylor Swift;This Here Guitar;permanent
Taylor Swift;This Here Guitar;scars
Taylor Swift;This Here Guitar;but
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;fell
Taylor Swift;This Here Guitar;in
Taylor Swift;This Here Guitar;love
Taylor Swift;This Here Guitar;with
Taylor Swift;This Here Guitar;this
Taylor Swift;This Here Guitar;here
Taylor Swift;This Here Guitar;guitar
Taylor Swift;This Here Guitar;nice
Taylor Swift;This Here Guitar;to
Taylor Swift;This Here Guitar;meet
Taylor Swift;This Here Guitar;you,
Taylor Swift;This Here Guitar;can
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;teach
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;walking
Taylor Swift;This Here Guitar;downtown
Taylor Swift;This Here Guitar;shuffling
Taylor Swift;This Here Guitar;my
Taylor Swift;This Here Guitar;feet
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;try
Taylor Swift;This Here Guitar;to
Taylor Swift;This Here Guitar;dream
Taylor Swift;This Here Guitar;my
Taylor Swift;This Here Guitar;dreams
Taylor Swift;This Here Guitar;above
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;concrete
Taylor Swift;This Here Guitar;store
Taylor Swift;This Here Guitar;windows,
Taylor Swift;This Here Guitar;traveled
Taylor Swift;This Here Guitar;for
Taylor Swift;This Here Guitar;miles
Taylor Swift;This Here Guitar;but
Taylor Swift;This Here Guitar;something
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;passed
Taylor Swift;This Here Guitar;really
Taylor Swift;This Here Guitar;caught
Taylor Swift;This Here Guitar;my
Taylor Swift;This Here Guitar;eye
Taylor Swift;This Here Guitar;it
Taylor Swift;This Here Guitar;was
Taylor Swift;This Here Guitar;cracked
Taylor Swift;This Here Guitar;down
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;middle,
Taylor Swift;This Here Guitar;permanent
Taylor Swift;This Here Guitar;scars
Taylor Swift;This Here Guitar;but
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;fell
Taylor Swift;This Here Guitar;in
Taylor Swift;This Here Guitar;love
Taylor Swift;This Here Guitar;with
Taylor Swift;This Here Guitar;this
Taylor Swift;This Here Guitar;here
Taylor Swift;This Here Guitar;guitar
Taylor Swift;This Here Guitar;nice
Taylor Swift;This Here Guitar;to
Taylor Swift;This Here Guitar;meet
Taylor Swift;This Here Guitar;you,
Taylor Swift;This Here Guitar;can
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;teach
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;all
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;know,
Taylor Swift;This Here Guitar;can
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;show
Taylor Swift;This Here Guitar;me
Taylor Swift;This Here Guitar;what
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;do
Taylor Swift;This Here Guitar;where
Taylor Swift;This Here Guitar;have
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;been
Taylor Swift;This Here Guitar;what
Taylor Swift;This Here Guitar;have
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;seen
Taylor Swift;This Here Guitar;who
Taylor Swift;This Here Guitar;were
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;before
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;even
Taylor Swift;This Here Guitar;knew
Taylor Swift;This Here Guitar;me
Taylor Swift;This Here Guitar;have
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;been
Taylor Swift;This Here Guitar;played
Taylor Swift;This Here Guitar;for
Taylor Swift;This Here Guitar;endless
Taylor Swift;This Here Guitar;hours
Taylor Swift;This Here Guitar;or
Taylor Swift;This Here Guitar;were
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;left
Taylor Swift;This Here Guitar;in
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;corner
Taylor Swift;This Here Guitar;or
Taylor Swift;This Here Guitar;were
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;someone's
Taylor Swift;This Here Guitar;best
Taylor Swift;This Here Guitar;friend
Taylor Swift;This Here Guitar;this
Taylor Swift;This Here Guitar;here
Taylor Swift;This Here Guitar;guitar
Taylor Swift;This Here Guitar;it
Taylor Swift;This Here Guitar;was
Taylor Swift;This Here Guitar;my
Taylor Swift;This Here Guitar;baby,
Taylor Swift;This Here Guitar;anyone
Taylor Swift;This Here Guitar;could
Taylor Swift;This Here Guitar;see
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;love
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;cracks,
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;curves,
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;hidden
Taylor Swift;This Here Guitar;beauty
Taylor Swift;This Here Guitar;but
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;can't
Taylor Swift;This Here Guitar;help
Taylor Swift;This Here Guitar;wondering
Taylor Swift;This Here Guitar;why
Taylor Swift;This Here Guitar;it
Taylor Swift;This Here Guitar;came
Taylor Swift;This Here Guitar;to
Taylor Swift;This Here Guitar;me
Taylor Swift;This Here Guitar;and
Taylor Swift;This Here Guitar;where
Taylor Swift;This Here Guitar;we'll
Taylor Swift;This Here Guitar;say
Taylor Swift;This Here Guitar;goodbye
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;cracks
Taylor Swift;This Here Guitar;down
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;middle
Taylor Swift;This Here Guitar;can't
Taylor Swift;This Here Guitar;see
Taylor Swift;This Here Guitar;where
Taylor Swift;This Here Guitar;they
Taylor Swift;This Here Guitar;are
Taylor Swift;This Here Guitar;since
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;fell
Taylor Swift;This Here Guitar;in
Taylor Swift;This Here Guitar;love
Taylor Swift;This Here Guitar;with
Taylor Swift;This Here Guitar;this
Taylor Swift;This Here Guitar;here
Taylor Swift;This Here Guitar;guitar
Taylor Swift;This Here Guitar;nice
Taylor Swift;This Here Guitar;to
Taylor Swift;This Here Guitar;meet
Taylor Swift;This Here Guitar;you,
Taylor Swift;This Here Guitar;can
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;teach
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;all
Taylor Swift;This Here Guitar;i
Taylor Swift;This Here Guitar;know,
Taylor Swift;This Here Guitar;can
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;show
Taylor Swift;This Here Guitar;me
Taylor Swift;This Here Guitar;what
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;do
Taylor Swift;This Here Guitar;where
Taylor Swift;This Here Guitar;have
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;been
Taylor Swift;This Here Guitar;what
Taylor Swift;This Here Guitar;have
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;seen
Taylor Swift;This Here Guitar;who
Taylor Swift;This Here Guitar;were
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;before
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;even
Taylor Swift;This Here Guitar;knew
Taylor Swift;This Here Guitar;me
Taylor Swift;This Here Guitar;have
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;been
Taylor Swift;This Here Guitar;played
Taylor Swift;This Here Guitar;for
Taylor Swift;This Here Guitar;endless
Taylor Swift;This Here Guitar;hours
Taylor Swift;This Here Guitar;or
Taylor Swift;This Here Guitar;were
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;left
Taylor Swift;This Here Guitar;in
Taylor Swift;This Here Guitar;the
Taylor Swift;This Here Guitar;corner
Taylor Swift;This Here Guitar;or
Taylor Swift;This Here Guitar;were
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;someone's
Taylor Swift;This Here Guitar;best
Taylor Swift;This Here Guitar;friend
Taylor Swift;This Here Guitar;this
Taylor Swift;This Here Guitar;here
Taylor Swift;This Here Guitar;guitar
Taylor Swift;This Here Guitar;were
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;a
Taylor Swift;This Here Guitar;present
Taylor Swift;This Here Guitar;from
Taylor Swift;This Here Guitar;a
Taylor Swift;This Here Guitar;father
Taylor Swift;This Here Guitar;to
Taylor Swift;This Here Guitar;a
Taylor Swift;This Here Guitar;son
Taylor Swift;This Here Guitar;did
Taylor Swift;This Here Guitar;he
Taylor Swift;This Here Guitar;forget
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;or
Taylor Swift;This Here Guitar;just
Taylor Swift;This Here Guitar;play
Taylor Swift;This Here Guitar;you
Taylor Swift;This Here Guitar;'til
