artist_name;song_title;token
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;can't
Taylor Swift;Writing Songs About You;believe
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;did
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;again
Taylor Swift;Writing Songs About You;walked
Taylor Swift;Writing Songs About You;by
Taylor Swift;Writing Songs About You;and
Taylor Swift;Writing Songs About You;took
Taylor Swift;Writing Songs About You;my
Taylor Swift;Writing Songs About You;heart
Taylor Swift;Writing Songs About You;with
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;why'd
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;have
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;look
Taylor Swift;Writing Songs About You;so
Taylor Swift;Writing Songs About You;good?
Taylor Swift;Writing Songs About You;don't
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;know
Taylor Swift;Writing Songs About You;i'm
Taylor Swift;Writing Songs About You;trying
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;hate
Taylor Swift;Writing Songs About You;you?
Taylor Swift;Writing Songs About You;trying
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;have
Taylor Swift;Writing Songs About You;a
Taylor Swift;Writing Songs About You;dream
Taylor Swift;Writing Songs About You;without
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;in
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;but
Taylor Swift;Writing Songs About You;how
Taylor Swift;Writing Songs About You;can
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;put
Taylor Swift;Writing Songs About You;out
Taylor Swift;Writing Songs About You;this
Taylor Swift;Writing Songs About You;fire?
Taylor Swift;Writing Songs About You;when
Taylor Swift;Writing Songs About You;you're
Taylor Swift;Writing Songs About You;the
Taylor Swift;Writing Songs About You;one
Taylor Swift;Writing Songs About You;who
Taylor Swift;Writing Songs About You;lit
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;can't
Taylor Swift;Writing Songs About You;wait
Taylor Swift;Writing Songs About You;for
Taylor Swift;Writing Songs About You;the
Taylor Swift;Writing Songs About You;day
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;stop
Taylor Swift;Writing Songs About You;pretending
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;can't
Taylor Swift;Writing Songs About You;believe
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;did
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;again
Taylor Swift;Writing Songs About You;walked
Taylor Swift;Writing Songs About You;by
Taylor Swift;Writing Songs About You;and
Taylor Swift;Writing Songs About You;took
Taylor Swift;Writing Songs About You;my
Taylor Swift;Writing Songs About You;heart
Taylor Swift;Writing Songs About You;with
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;why'd
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;have
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;look
Taylor Swift;Writing Songs About You;so
Taylor Swift;Writing Songs About You;good?
Taylor Swift;Writing Songs About You;don't
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;know
Taylor Swift;Writing Songs About You;i'm
Taylor Swift;Writing Songs About You;trying
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;hate
Taylor Swift;Writing Songs About You;you?
Taylor Swift;Writing Songs About You;trying
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;have
Taylor Swift;Writing Songs About You;a
Taylor Swift;Writing Songs About You;dream
Taylor Swift;Writing Songs About You;without
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;in
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;but
Taylor Swift;Writing Songs About You;how
Taylor Swift;Writing Songs About You;can
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;put
Taylor Swift;Writing Songs About You;out
Taylor Swift;Writing Songs About You;this
Taylor Swift;Writing Songs About You;fire?
Taylor Swift;Writing Songs About You;when
Taylor Swift;Writing Songs About You;you're
Taylor Swift;Writing Songs About You;the
Taylor Swift;Writing Songs About You;one
Taylor Swift;Writing Songs About You;who
Taylor Swift;Writing Songs About You;lit
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;can't
Taylor Swift;Writing Songs About You;wait
Taylor Swift;Writing Songs About You;for
Taylor Swift;Writing Songs About You;the
Taylor Swift;Writing Songs About You;day
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;stop
Taylor Swift;Writing Songs About You;pretending
Taylor Swift;Writing Songs About You;that
Taylor Swift;Writing Songs About You;i'm
Taylor Swift;Writing Songs About You;really
Taylor Swift;Writing Songs About You;okay,
Taylor Swift;Writing Songs About You;when
Taylor Swift;Writing Songs About You;i'm
Taylor Swift;Writing Songs About You;not
Taylor Swift;Writing Songs About You;wanna
Taylor Swift;Writing Songs About You;know
Taylor Swift;Writing Songs About You;how
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;feels
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;be
Taylor Swift;Writing Songs About You;over
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;for
Taylor Swift;Writing Songs About You;real
Taylor Swift;Writing Songs About You;'til
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;do
Taylor Swift;Writing Songs About You;i'll
Taylor Swift;Writing Songs About You;keep
Taylor Swift;Writing Songs About You;writing
Taylor Swift;Writing Songs About You;songs
Taylor Swift;Writing Songs About You;about
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;i've
Taylor Swift;Writing Songs About You;got
Taylor Swift;Writing Songs About You;a
Taylor Swift;Writing Songs About You;stack
Taylor Swift;Writing Songs About You;of
Taylor Swift;Writing Songs About You;papers
Taylor Swift;Writing Songs About You;so
Taylor Swift;Writing Songs About You;high
Taylor Swift;Writing Songs About You;and
Taylor Swift;Writing Songs About You;it's
Taylor Swift;Writing Songs About You;all
Taylor Swift;Writing Songs About You;about
Taylor Swift;Writing Songs About You;you,
Taylor Swift;Writing Songs About You;baby
Taylor Swift;Writing Songs About You;keep
Taylor Swift;Writing Songs About You;thinking
Taylor Swift;Writing Songs About You;maybe
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;can
Taylor Swift;Writing Songs About You;make
Taylor Swift;Writing Songs About You;sense
Taylor Swift;Writing Songs About You;of
Taylor Swift;Writing Songs About You;something
Taylor Swift;Writing Songs About You;crazy
Taylor Swift;Writing Songs About You;something
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;can't
Taylor Swift;Writing Songs About You;get
Taylor Swift;Writing Songs About You;out
Taylor Swift;Writing Songs About You;of
Taylor Swift;Writing Songs About You;my
Taylor Swift;Writing Songs About You;head
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;write
Taylor Swift;Writing Songs About You;your
Taylor Swift;Writing Songs About You;name,
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;write
Taylor Swift;Writing Songs About You;your
Taylor Swift;Writing Songs About You;name
Taylor Swift;Writing Songs About You;then
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;tear
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;all
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;shreds
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;can't
Taylor Swift;Writing Songs About You;wait
Taylor Swift;Writing Songs About You;for
Taylor Swift;Writing Songs About You;the
Taylor Swift;Writing Songs About You;day
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;stop
Taylor Swift;Writing Songs About You;pretending
Taylor Swift;Writing Songs About You;that
Taylor Swift;Writing Songs About You;i'm
Taylor Swift;Writing Songs About You;really
Taylor Swift;Writing Songs About You;okay,
Taylor Swift;Writing Songs About You;when
Taylor Swift;Writing Songs About You;i'm
Taylor Swift;Writing Songs About You;not
Taylor Swift;Writing Songs About You;wanna
Taylor Swift;Writing Songs About You;know
Taylor Swift;Writing Songs About You;how
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;feels
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;be
Taylor Swift;Writing Songs About You;over
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;for
Taylor Swift;Writing Songs About You;real
Taylor Swift;Writing Songs About You;'til
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;do
Taylor Swift;Writing Songs About You;i'll
Taylor Swift;Writing Songs About You;keep
Taylor Swift;Writing Songs About You;writing
Taylor Swift;Writing Songs About You;songs
Taylor Swift;Writing Songs About You;about
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;and
Taylor Swift;Writing Songs About You;if
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;ever
Taylor Swift;Writing Songs About You;change
Taylor Swift;Writing Songs About You;your
Taylor Swift;Writing Songs About You;mind
Taylor Swift;Writing Songs About You;and
Taylor Swift;Writing Songs About You;want
Taylor Swift;Writing Songs About You;me
Taylor Swift;Writing Songs About You;back
Taylor Swift;Writing Songs About You;again
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;hope
Taylor Swift;Writing Songs About You;these
Taylor Swift;Writing Songs About You;songs
Taylor Swift;Writing Songs About You;will
Taylor Swift;Writing Songs About You;remind
Taylor Swift;Writing Songs About You;me
Taylor Swift;Writing Songs About You;of
Taylor Swift;Writing Songs About You;why
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;shouldn't
Taylor Swift;Writing Songs About You;let
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;in
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;can't
Taylor Swift;Writing Songs About You;wait
Taylor Swift;Writing Songs About You;for
Taylor Swift;Writing Songs About You;the
Taylor Swift;Writing Songs About You;day
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;stop
Taylor Swift;Writing Songs About You;pretending
Taylor Swift;Writing Songs About You;that
Taylor Swift;Writing Songs About You;i'm
Taylor Swift;Writing Songs About You;really
Taylor Swift;Writing Songs About You;okay,
Taylor Swift;Writing Songs About You;when
Taylor Swift;Writing Songs About You;i'm
Taylor Swift;Writing Songs About You;not
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;wanna
Taylor Swift;Writing Songs About You;know
Taylor Swift;Writing Songs About You;how
Taylor Swift;Writing Songs About You;it
Taylor Swift;Writing Songs About You;feels
Taylor Swift;Writing Songs About You;to
Taylor Swift;Writing Songs About You;be
Taylor Swift;Writing Songs About You;over
Taylor Swift;Writing Songs About You;you
Taylor Swift;Writing Songs About You;for
Taylor Swift;Writing Songs About You;real
Taylor Swift;Writing Songs About You;'til
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;do
Taylor Swift;Writing Songs About You;i'll
Taylor Swift;Writing Songs About You;just
Taylor Swift;Writing Songs About You;wait
Taylor Swift;Writing Songs About You;for
Taylor Swift;Writing Songs About You;the
Taylor Swift;Writing Songs About You;day
Taylor Swift;Writing Songs About You;i
Taylor Swift;Writing Songs About You;stop
Taylor Swift;Writing Songs About You;pretending
Taylor Swift;Writing Songs About You;that
Taylor Swift;Writing Songs About You;i'm
Taylor Swift;Writing Songs About You;really
Taylor Swift;Writing Songs About You;okay,
