artist_name;song_title;token
Kanye West;Diamonds From Sierra Leone (Remix);diamonds
Kanye West;Diamonds From Sierra Leone (Remix);are
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);they
Kanye West;Diamonds From Sierra Leone (Remix);won't
Kanye West;Diamonds From Sierra Leone (Remix);leave
Kanye West;Diamonds From Sierra Leone (Remix);in
Kanye West;Diamonds From Sierra Leone (Remix);the
Kanye West;Diamonds From Sierra Leone (Remix);night
Kanye West;Diamonds From Sierra Leone (Remix);i've
Kanye West;Diamonds From Sierra Leone (Remix);no
Kanye West;Diamonds From Sierra Leone (Remix);fear
Kanye West;Diamonds From Sierra Leone (Remix);that
Kanye West;Diamonds From Sierra Leone (Remix);they
Kanye West;Diamonds From Sierra Leone (Remix);might
Kanye West;Diamonds From Sierra Leone (Remix);desert
Kanye West;Diamonds From Sierra Leone (Remix);me
Kanye West;Diamonds From Sierra Leone (Remix);diamonds
Kanye West;Diamonds From Sierra Leone (Remix);are
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);throw
Kanye West;Diamonds From Sierra Leone (Remix);your
Kanye West;Diamonds From Sierra Leone (Remix);diamonds
Kanye West;Diamonds From Sierra Leone (Remix);in
Kanye West;Diamonds From Sierra Leone (Remix);the
Kanye West;Diamonds From Sierra Leone (Remix);sky
Kanye West;Diamonds From Sierra Leone (Remix);if
Kanye West;Diamonds From Sierra Leone (Remix);you
Kanye West;Diamonds From Sierra Leone (Remix);feel
Kanye West;Diamonds From Sierra Leone (Remix);the
Kanye West;Diamonds From Sierra Leone (Remix);vibe
Kanye West;Diamonds From Sierra Leone (Remix);diamonds
Kanye West;Diamonds From Sierra Leone (Remix);are
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);the
Kanye West;Diamonds From Sierra Leone (Remix);roc
Kanye West;Diamonds From Sierra Leone (Remix);is
Kanye West;Diamonds From Sierra Leone (Remix);still
Kanye West;Diamonds From Sierra Leone (Remix);alive
Kanye West;Diamonds From Sierra Leone (Remix);every
Kanye West;Diamonds From Sierra Leone (Remix);time
Kanye West;Diamonds From Sierra Leone (Remix);i
Kanye West;Diamonds From Sierra Leone (Remix);rhyme
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);diamonds
Kanye West;Diamonds From Sierra Leone (Remix);are
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);they
Kanye West;Diamonds From Sierra Leone (Remix);won't
Kanye West;Diamonds From Sierra Leone (Remix);leave
Kanye West;Diamonds From Sierra Leone (Remix);in
Kanye West;Diamonds From Sierra Leone (Remix);the
Kanye West;Diamonds From Sierra Leone (Remix);night
Kanye West;Diamonds From Sierra Leone (Remix);i've
Kanye West;Diamonds From Sierra Leone (Remix);no
Kanye West;Diamonds From Sierra Leone (Remix);fear
Kanye West;Diamonds From Sierra Leone (Remix);that
Kanye West;Diamonds From Sierra Leone (Remix);they
Kanye West;Diamonds From Sierra Leone (Remix);might
Kanye West;Diamonds From Sierra Leone (Remix);desert
Kanye West;Diamonds From Sierra Leone (Remix);me
Kanye West;Diamonds From Sierra Leone (Remix);diamonds
Kanye West;Diamonds From Sierra Leone (Remix);are
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);throw
Kanye West;Diamonds From Sierra Leone (Remix);your
Kanye West;Diamonds From Sierra Leone (Remix);diamonds
Kanye West;Diamonds From Sierra Leone (Remix);in
Kanye West;Diamonds From Sierra Leone (Remix);the
Kanye West;Diamonds From Sierra Leone (Remix);sky
Kanye West;Diamonds From Sierra Leone (Remix);if
Kanye West;Diamonds From Sierra Leone (Remix);you
Kanye West;Diamonds From Sierra Leone (Remix);feel
Kanye West;Diamonds From Sierra Leone (Remix);the
Kanye West;Diamonds From Sierra Leone (Remix);vibe
Kanye West;Diamonds From Sierra Leone (Remix);diamonds
Kanye West;Diamonds From Sierra Leone (Remix);are
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);the
Kanye West;Diamonds From Sierra Leone (Remix);roc
Kanye West;Diamonds From Sierra Leone (Remix);is
Kanye West;Diamonds From Sierra Leone (Remix);still
Kanye West;Diamonds From Sierra Leone (Remix);alive
Kanye West;Diamonds From Sierra Leone (Remix);every
Kanye West;Diamonds From Sierra Leone (Remix);time
Kanye West;Diamonds From Sierra Leone (Remix);i
Kanye West;Diamonds From Sierra Leone (Remix);rhyme
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);forever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);ever
Kanye West;Diamonds From Sierra Leone (Remix);close
Kanye West;Diamonds From Sierra Leone (Remix);your
Kanye West;Diamonds From Sierra Leone (Remix);eyes
Kanye West;Diamonds From Sierra Leone (Remix);and
Kanye West;Diamonds From Sierra Leone (Remix);imagine
Kanye West;Diamonds From Sierra Leone (Remix);feel
Kanye West;Diamonds From Sierra Leone (Remix);the
Kanye West;Diamonds From Sierra Leone (Remix);magic
Kanye West;Diamonds From Sierra Leone (Remix);vegas
Kanye West;Diamonds From Sierra Leone (Remix);on
Kanye West;Diamonds From Sierra Leone (Remix);acid
Kanye West;Diamonds From Sierra Leone (Remix);seen
Kanye West;Diamonds From Sierra Leone (Remix);through
Kanye West;Diamonds From Sierra Leone (Remix);yves
Kanye West;Diamonds From Sierra Leone (Remix);st
Kanye West;Diamonds From Sierra Leone (Remix);laurent
Kanye West;Diamonds From Sierra Leone (Remix);glasses
Kanye West;Diamonds From Sierra Leone (Remix);and
Kanye West;Diamonds From Sierra Leone (Remix);i've
Kanye West;Diamonds From Sierra Leone (Remix);realized
Kanye West;Diamonds From Sierra Leone (Remix);that
Kanye West;Diamonds From Sierra Leone (Remix);i've
Kanye West;Diamonds From Sierra Leone (Remix);arrived
Kanye West;Diamonds From Sierra Leone (Remix);'cause
Kanye West;Diamonds From Sierra Leone (Remix);it
Kanye West;Diamonds From Sierra Leone (Remix);take
Kanye West;Diamonds From Sierra Leone (Remix);more
Kanye West;Diamonds From Sierra Leone (Remix);than
