artist_name;song_title;token
Kanye West;Lift Yourself;hard
Kanye West;Lift Yourself;to
Kanye West;Lift Yourself;see
Kanye West;Lift Yourself;ooh
Kanye West;Lift Yourself;the
Kanye West;Lift Yourself;hang
Kanye West;Lift Yourself;ups
Kanye West;Lift Yourself;we
Kanye West;Lift Yourself;have
Kanye West;Lift Yourself;today
Kanye West;Lift Yourself;said
Kanye West;Lift Yourself;we
Kanye West;Lift Yourself;need
Kanye West;Lift Yourself;to
Kanye West;Lift Yourself;strive
Kanye West;Lift Yourself;for
Kanye West;Lift Yourself;more
Kanye West;Lift Yourself;liberty
Kanye West;Lift Yourself;lift
Kanye West;Lift Yourself;yourself
Kanye West;Lift Yourself;upon
Kanye West;Lift Yourself;your
Kanye West;Lift Yourself;feet
Kanye West;Lift Yourself;let
Kanye West;Lift Yourself;get
Kanye West;Lift Yourself;it
Kanye West;Lift Yourself;on
Kanye West;Lift Yourself;lift
Kanye West;Lift Yourself;yourself
Kanye West;Lift Yourself;up
Kanye West;Lift Yourself;on
Kanye West;Lift Yourself;your
Kanye West;Lift Yourself;feet
Kanye West;Lift Yourself;let
Kanye West;Lift Yourself;get
Kanye West;Lift Yourself;it
Kanye West;Lift Yourself;on
Kanye West;Lift Yourself;lift
Kanye West;Lift Yourself;yourself
Kanye West;Lift Yourself;upon
Kanye West;Lift Yourself;your
Kanye West;Lift Yourself;feet
Kanye West;Lift Yourself;let
Kanye West;Lift Yourself;get
Kanye West;Lift Yourself;it
Kanye West;Lift Yourself;on
Kanye West;Lift Yourself;lift
Kanye West;Lift Yourself;yourself
Kanye West;Lift Yourself;upon
Kanye West;Lift Yourself;your
Kanye West;Lift Yourself;feet
Kanye West;Lift Yourself;let
Kanye West;Lift Yourself;get
Kanye West;Lift Yourself;it
Kanye West;Lift Yourself;on
Kanye West;Lift Yourself;lift
Kanye West;Lift Yourself;yourself
Kanye West;Lift Yourself;upon
Kanye West;Lift Yourself;your
Kanye West;Lift Yourself;feet
Kanye West;Lift Yourself;let
Kanye West;Lift Yourself;get
Kanye West;Lift Yourself;it
Kanye West;Lift Yourself;on
Kanye West;Lift Yourself;hard
Kanye West;Lift Yourself;to
Kanye West;Lift Yourself;see
Kanye West;Lift Yourself;ooh
Kanye West;Lift Yourself;the
Kanye West;Lift Yourself;hang
Kanye West;Lift Yourself;ups
Kanye West;Lift Yourself;we
Kanye West;Lift Yourself;have
Kanye West;Lift Yourself;today
Kanye West;Lift Yourself;said
Kanye West;Lift Yourself;we
Kanye West;Lift Yourself;need
Kanye West;Lift Yourself;to
Kanye West;Lift Yourself;strive
Kanye West;Lift Yourself;for
Kanye West;Lift Yourself;more
Kanye West;Lift Yourself;liberty
Kanye West;Lift Yourself;lift
Kanye West;Lift Yourself;yourself
Kanye West;Lift Yourself;upon
Kanye West;Lift Yourself;your
Kanye West;Lift Yourself;feet
Kanye West;Lift Yourself;let
Kanye West;Lift Yourself;get
Kanye West;Lift Yourself;it
Kanye West;Lift Yourself;on
Kanye West;Lift Yourself;lift
Kanye West;Lift Yourself;yourself
Kanye West;Lift Yourself;up
Kanye West;Lift Yourself;on
Kanye West;Lift Yourself;your
