artist_name;song_title;token
Kanye West;White Dress;just
Kanye West;White Dress;me
Kanye West;White Dress;and
Kanye West;White Dress;you
Kanye West;White Dress;girl
Kanye West;White Dress;whoa
Kanye West;White Dress;oh
Kanye West;White Dress;just
Kanye West;White Dress;me
Kanye West;White Dress;and
Kanye West;White Dress;you
Kanye West;White Dress;girl
Kanye West;White Dress;whoa
Kanye West;White Dress;oh
Kanye West;White Dress;trying
Kanye West;White Dress;to
Kanye West;White Dress;sneak
Kanye West;White Dress;upstairs
Kanye West;White Dress;to
Kanye West;White Dress;your
Kanye West;White Dress;apartment
Kanye West;White Dress;aren't
Kanye West;White Dress;you
Kanye West;White Dress;a
Kanye West;White Dress;sight
Kanye West;White Dress;for
Kanye West;White Dress;red
Kanye West;White Dress;eyes
Kanye West;White Dress;i
Kanye West;White Dress;just
Kanye West;White Dress;flew
Kanye West;White Dress;in
Kanye West;White Dress;and
Kanye West;White Dress;slipped
Kanye West;White Dress;in
Kanye West;White Dress;on
Kanye West;White Dress;your
Kanye West;White Dress;left
Kanye West;White Dress;side
Kanye West;White Dress;just
Kanye West;White Dress;a
Kanye West;White Dress;satin
Kanye West;White Dress;gown
Kanye West;White Dress;you
Kanye West;White Dress;asleep
Kanye West;White Dress;with
Kanye West;White Dress;no
Kanye West;White Dress;make-up
Kanye West;White Dress;i'm
Kanye West;White Dress;just
Kanye West;White Dress;tryna
Kanye West;White Dress;be
Kanye West;White Dress;inside
Kanye West;White Dress;you
Kanye West;White Dress;'fore
Kanye West;White Dress;you
Kanye West;White Dress;wake
Kanye West;White Dress;up
Kanye West;White Dress;just
Kanye West;White Dress;me
Kanye West;White Dress;and
Kanye West;White Dress;you
Kanye West;White Dress;girl
Kanye West;White Dress;whoa
Kanye West;White Dress;oh
Kanye West;White Dress;just
Kanye West;White Dress;me
Kanye West;White Dress;and
Kanye West;White Dress;you
Kanye West;White Dress;girl
Kanye West;White Dress;whoa
Kanye West;White Dress;oh
Kanye West;White Dress;just
Kanye West;White Dress;me
Kanye West;White Dress;and
Kanye West;White Dress;you
Kanye West;White Dress;girl
Kanye West;White Dress;whoa
Kanye West;White Dress;oh
Kanye West;White Dress;trying
Kanye West;White Dress;to
Kanye West;White Dress;sneak
Kanye West;White Dress;upstairs
Kanye West;White Dress;to
Kanye West;White Dress;your
Kanye West;White Dress;apartment
Kanye West;White Dress;aren't
Kanye West;White Dress;you
Kanye West;White Dress;a
Kanye West;White Dress;sight
Kanye West;White Dress;for
Kanye West;White Dress;red
Kanye West;White Dress;eyes
Kanye West;White Dress;i
Kanye West;White Dress;just
Kanye West;White Dress;flew
Kanye West;White Dress;in
Kanye West;White Dress;and
Kanye West;White Dress;slipped
Kanye West;White Dress;in
Kanye West;White Dress;on
Kanye West;White Dress;your
Kanye West;White Dress;left
Kanye West;White Dress;side
Kanye West;White Dress;just
Kanye West;White Dress;a
Kanye West;White Dress;satin
Kanye West;White Dress;gown
Kanye West;White Dress;you
Kanye West;White Dress;asleep
Kanye West;White Dress;with
Kanye West;White Dress;no
Kanye West;White Dress;make-up
Kanye West;White Dress;i'm
Kanye West;White Dress;just
Kanye West;White Dress;tryna
Kanye West;White Dress;be
Kanye West;White Dress;inside
Kanye West;White Dress;you
Kanye West;White Dress;'fore
Kanye West;White Dress;you
Kanye West;White Dress;wake
Kanye West;White Dress;up
Kanye West;White Dress;just
Kanye West;White Dress;me
Kanye West;White Dress;and
Kanye West;White Dress;you
