artist_name;song_title;token
The White Strips;Catch Hell Blues;if
The White Strips;Catch Hell Blues;you
The White Strips;Catch Hell Blues;really
The White Strips;Catch Hell Blues;want
The White Strips;Catch Hell Blues;some
The White Strips;Catch Hell Blues;hot
The White Strips;Catch Hell Blues;water
The White Strips;Catch Hell Blues;i
The White Strips;Catch Hell Blues;can
The White Strips;Catch Hell Blues;help
The White Strips;Catch Hell Blues;you
The White Strips;Catch Hell Blues;find
The White Strips;Catch Hell Blues;it
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;ah
The White Strips;Catch Hell Blues;yeah
The White Strips;Catch Hell Blues;well
The White Strips;Catch Hell Blues;if
The White Strips;Catch Hell Blues;they
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;me
The White Strips;Catch Hell Blues;around
The White Strips;Catch Hell Blues;you're
The White Strips;Catch Hell Blues;playing
The White Strips;Catch Hell Blues;rock
The White Strips;Catch Hell Blues;the
The White Strips;Catch Hell Blues;boat
The White Strips;Catch Hell Blues;i'm
The White Strips;Catch Hell Blues;gonna
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;hell
The White Strips;Catch Hell Blues;and
The White Strips;Catch Hell Blues;if
The White Strips;Catch Hell Blues;you're
The White Strips;Catch Hell Blues;throwing
The White Strips;Catch Hell Blues;your
The White Strips;Catch Hell Blues;voice
The White Strips;Catch Hell Blues;in
The White Strips;Catch Hell Blues;bed
The White Strips;Catch Hell Blues;singing
The White Strips;Catch Hell Blues;a
The White Strips;Catch Hell Blues;note
The White Strips;Catch Hell Blues;i'm
The White Strips;Catch Hell Blues;gonna
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;hell
The White Strips;Catch Hell Blues;i
The White Strips;Catch Hell Blues;know
The White Strips;Catch Hell Blues;it
The White Strips;Catch Hell Blues;that
The White Strips;Catch Hell Blues;right
The White Strips;Catch Hell Blues;try
The White Strips;Catch Hell Blues;and
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;me
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;yeah
The White Strips;Catch Hell Blues;tricky
The White Strips;Catch Hell Blues;tricky
The White Strips;Catch Hell Blues;yeah
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;if
The White Strips;Catch Hell Blues;you
The White Strips;Catch Hell Blues;really
The White Strips;Catch Hell Blues;want
The White Strips;Catch Hell Blues;some
The White Strips;Catch Hell Blues;hot
The White Strips;Catch Hell Blues;water
The White Strips;Catch Hell Blues;i
The White Strips;Catch Hell Blues;can
The White Strips;Catch Hell Blues;help
The White Strips;Catch Hell Blues;you
The White Strips;Catch Hell Blues;find
The White Strips;Catch Hell Blues;it
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;ah
The White Strips;Catch Hell Blues;yeah
The White Strips;Catch Hell Blues;well
The White Strips;Catch Hell Blues;if
The White Strips;Catch Hell Blues;they
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;me
The White Strips;Catch Hell Blues;around
The White Strips;Catch Hell Blues;you're
The White Strips;Catch Hell Blues;playing
The White Strips;Catch Hell Blues;rock
The White Strips;Catch Hell Blues;the
The White Strips;Catch Hell Blues;boat
The White Strips;Catch Hell Blues;i'm
The White Strips;Catch Hell Blues;gonna
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;hell
The White Strips;Catch Hell Blues;and
The White Strips;Catch Hell Blues;if
The White Strips;Catch Hell Blues;you're
The White Strips;Catch Hell Blues;throwing
The White Strips;Catch Hell Blues;your
The White Strips;Catch Hell Blues;voice
The White Strips;Catch Hell Blues;in
The White Strips;Catch Hell Blues;bed
The White Strips;Catch Hell Blues;singing
The White Strips;Catch Hell Blues;a
The White Strips;Catch Hell Blues;note
The White Strips;Catch Hell Blues;i'm
The White Strips;Catch Hell Blues;gonna
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;hell
The White Strips;Catch Hell Blues;i
The White Strips;Catch Hell Blues;know
The White Strips;Catch Hell Blues;it
The White Strips;Catch Hell Blues;that
The White Strips;Catch Hell Blues;right
The White Strips;Catch Hell Blues;try
The White Strips;Catch Hell Blues;and
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;me
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;yeah
The White Strips;Catch Hell Blues;tricky
The White Strips;Catch Hell Blues;tricky
The White Strips;Catch Hell Blues;yeah
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;oh
The White Strips;Catch Hell Blues;if
The White Strips;Catch Hell Blues;you're
The White Strips;Catch Hell Blues;getting
The White Strips;Catch Hell Blues;tricky
The White Strips;Catch Hell Blues;lying
The White Strips;Catch Hell Blues;to
The White Strips;Catch Hell Blues;yourself
The White Strips;Catch Hell Blues;you're
The White Strips;Catch Hell Blues;gonna
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;hell
The White Strips;Catch Hell Blues;and
The White Strips;Catch Hell Blues;if
The White Strips;Catch Hell Blues;you're
The White Strips;Catch Hell Blues;testing
The White Strips;Catch Hell Blues;god
The White Strips;Catch Hell Blues;lying
The White Strips;Catch Hell Blues;to
The White Strips;Catch Hell Blues;his
The White Strips;Catch Hell Blues;face
The White Strips;Catch Hell Blues;you're
The White Strips;Catch Hell Blues;gonna
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;hell
The White Strips;Catch Hell Blues;c'mon
The White Strips;Catch Hell Blues;hey
The White Strips;Catch Hell Blues;that
The White Strips;Catch Hell Blues;it
The White Strips;Catch Hell Blues;they're
The White Strips;Catch Hell Blues;gonna
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;you
The White Strips;Catch Hell Blues;they're
The White Strips;Catch Hell Blues;gonna
The White Strips;Catch Hell Blues;catch
The White Strips;Catch Hell Blues;you
