artist_name;song_title;token
The White Strips;Why Can't You Be Nicer To Me?;somebody
The White Strips;Why Can't You Be Nicer To Me?;screaming
The White Strips;Why Can't You Be Nicer To Me?;looking
The White Strips;Why Can't You Be Nicer To Me?;at
The White Strips;Why Can't You Be Nicer To Me?;the
The White Strips;Why Can't You Be Nicer To Me?;ceiling
The White Strips;Why Can't You Be Nicer To Me?;everything
The White Strips;Why Can't You Be Nicer To Me?;so
The White Strips;Why Can't You Be Nicer To Me?;funny
The White Strips;Why Can't You Be Nicer To Me?;i
The White Strips;Why Can't You Be Nicer To Me?;don't
The White Strips;Why Can't You Be Nicer To Me?;have
The White Strips;Why Can't You Be Nicer To Me?;any
The White Strips;Why Can't You Be Nicer To Me?;money
The White Strips;Why Can't You Be Nicer To Me?;people
The White Strips;Why Can't You Be Nicer To Me?;don't
The White Strips;Why Can't You Be Nicer To Me?;even
The White Strips;Why Can't You Be Nicer To Me?;know
The White Strips;Why Can't You Be Nicer To Me?;me
The White Strips;Why Can't You Be Nicer To Me?;but
The White Strips;Why Can't You Be Nicer To Me?;they
The White Strips;Why Can't You Be Nicer To Me?;know
The White Strips;Why Can't You Be Nicer To Me?;how
The White Strips;Why Can't You Be Nicer To Me?;to
The White Strips;Why Can't You Be Nicer To Me?;show
The White Strips;Why Can't You Be Nicer To Me?;me
The White Strips;Why Can't You Be Nicer To Me?;why
The White Strips;Why Can't You Be Nicer To Me?;can't
The White Strips;Why Can't You Be Nicer To Me?;you
The White Strips;Why Can't You Be Nicer To Me?;be
The White Strips;Why Can't You Be Nicer To Me?;nicer
The White Strips;Why Can't You Be Nicer To Me?;to
The White Strips;Why Can't You Be Nicer To Me?;me
The White Strips;Why Can't You Be Nicer To Me?;my
The White Strips;Why Can't You Be Nicer To Me?;pride
The White Strips;Why Can't You Be Nicer To Me?;is
The White Strips;Why Can't You Be Nicer To Me?;dying
The White Strips;Why Can't You Be Nicer To Me?;i
The White Strips;Why Can't You Be Nicer To Me?;think
The White Strips;Why Can't You Be Nicer To Me?;i'm
The White Strips;Why Can't You Be Nicer To Me?;all
The White Strips;Why Can't You Be Nicer To Me?;done
The White Strips;Why Can't You Be Nicer To Me?;lying
The White Strips;Why Can't You Be Nicer To Me?;nobody
The White Strips;Why Can't You Be Nicer To Me?;sharing
The White Strips;Why Can't You Be Nicer To Me?;so
The White Strips;Why Can't You Be Nicer To Me?;i
The White Strips;Why Can't You Be Nicer To Me?;stop
The White Strips;Why Can't You Be Nicer To Me?;caring
The White Strips;Why Can't You Be Nicer To Me?;all
The White Strips;Why Can't You Be Nicer To Me?;alone
The White Strips;Why Can't You Be Nicer To Me?;and
The White Strips;Why Can't You Be Nicer To Me?;walking
The White Strips;Why Can't You Be Nicer To Me?;nobody
The White Strips;Why Can't You Be Nicer To Me?;talking
The White Strips;Why Can't You Be Nicer To Me?;somebody
The White Strips;Why Can't You Be Nicer To Me?;screaming
The White Strips;Why Can't You Be Nicer To Me?;looking
The White Strips;Why Can't You Be Nicer To Me?;at
The White Strips;Why Can't You Be Nicer To Me?;the
The White Strips;Why Can't You Be Nicer To Me?;ceiling
The White Strips;Why Can't You Be Nicer To Me?;everything
The White Strips;Why Can't You Be Nicer To Me?;so
The White Strips;Why Can't You Be Nicer To Me?;funny
The White Strips;Why Can't You Be Nicer To Me?;i
The White Strips;Why Can't You Be Nicer To Me?;don't
The White Strips;Why Can't You Be Nicer To Me?;have
The White Strips;Why Can't You Be Nicer To Me?;any
The White Strips;Why Can't You Be Nicer To Me?;money
The White Strips;Why Can't You Be Nicer To Me?;people
The White Strips;Why Can't You Be Nicer To Me?;don't
The White Strips;Why Can't You Be Nicer To Me?;even
The White Strips;Why Can't You Be Nicer To Me?;know
The White Strips;Why Can't You Be Nicer To Me?;me
The White Strips;Why Can't You Be Nicer To Me?;but
The White Strips;Why Can't You Be Nicer To Me?;they
The White Strips;Why Can't You Be Nicer To Me?;know
The White Strips;Why Can't You Be Nicer To Me?;how
The White Strips;Why Can't You Be Nicer To Me?;to
The White Strips;Why Can't You Be Nicer To Me?;show
The White Strips;Why Can't You Be Nicer To Me?;me
The White Strips;Why Can't You Be Nicer To Me?;why
The White Strips;Why Can't You Be Nicer To Me?;can't
The White Strips;Why Can't You Be Nicer To Me?;you
The White Strips;Why Can't You Be Nicer To Me?;be
The White Strips;Why Can't You Be Nicer To Me?;nicer
The White Strips;Why Can't You Be Nicer To Me?;to
The White Strips;Why Can't You Be Nicer To Me?;me
The White Strips;Why Can't You Be Nicer To Me?;my
The White Strips;Why Can't You Be Nicer To Me?;pride
The White Strips;Why Can't You Be Nicer To Me?;is
The White Strips;Why Can't You Be Nicer To Me?;dying
The White Strips;Why Can't You Be Nicer To Me?;i
The White Strips;Why Can't You Be Nicer To Me?;think
The White Strips;Why Can't You Be Nicer To Me?;i'm
The White Strips;Why Can't You Be Nicer To Me?;all
The White Strips;Why Can't You Be Nicer To Me?;done
The White Strips;Why Can't You Be Nicer To Me?;lying
The White Strips;Why Can't You Be Nicer To Me?;nobody
The White Strips;Why Can't You Be Nicer To Me?;sharing
The White Strips;Why Can't You Be Nicer To Me?;so
The White Strips;Why Can't You Be Nicer To Me?;i
The White Strips;Why Can't You Be Nicer To Me?;stop
The White Strips;Why Can't You Be Nicer To Me?;caring
The White Strips;Why Can't You Be Nicer To Me?;all
The White Strips;Why Can't You Be Nicer To Me?;alone
The White Strips;Why Can't You Be Nicer To Me?;and
The White Strips;Why Can't You Be Nicer To Me?;walking
The White Strips;Why Can't You Be Nicer To Me?;nobody
The White Strips;Why Can't You Be Nicer To Me?;talking
The White Strips;Why Can't You Be Nicer To Me?;why
The White Strips;Why Can't You Be Nicer To Me?;can't
The White Strips;Why Can't You Be Nicer To Me?;you
The White Strips;Why Can't You Be Nicer To Me?;be
The White Strips;Why Can't You Be Nicer To Me?;nicer
The White Strips;Why Can't You Be Nicer To Me?;to
The White Strips;Why Can't You Be Nicer To Me?;me
The White Strips;Why Can't You Be Nicer To Me?;well
The White Strips;Why Can't You Be Nicer To Me?;the
The White Strips;Why Can't You Be Nicer To Me?;wind
The White Strips;Why Can't You Be Nicer To Me?;is
The White Strips;Why Can't You Be Nicer To Me?;blowing
The White Strips;Why Can't You Be Nicer To Me?;where
The White Strips;Why Can't You Be Nicer To Me?;am
The White Strips;Why Can't You Be Nicer To Me?;i
The White Strips;Why Can't You Be Nicer To Me?;going
The White Strips;Why Can't You Be Nicer To Me?;off
The White Strips;Why Can't You Be Nicer To Me?;a
The White Strips;Why Can't You Be Nicer To Me?;bridge
The White Strips;Why Can't You Be Nicer To Me?;and
The White Strips;Why Can't You Be Nicer To Me?;falling
The White Strips;Why Can't You Be Nicer To Me?;nobody
The White Strips;Why Can't You Be Nicer To Me?;calling
The White Strips;Why Can't You Be Nicer To Me?;on
The White Strips;Why Can't You Be Nicer To Me?;the
The White Strips;Why Can't You Be Nicer To Me?;ground
The White Strips;Why Can't You Be Nicer To Me?;and
The White Strips;Why Can't You Be Nicer To Me?;laying
The White Strips;Why Can't You Be Nicer To Me?;nobody
The White Strips;Why Can't You Be Nicer To Me?;praying
The White Strips;Why Can't You Be Nicer To Me?;why
The White Strips;Why Can't You Be Nicer To Me?;can't
The White Strips;Why Can't You Be Nicer To Me?;you
The White Strips;Why Can't You Be Nicer To Me?;be
The White Strips;Why Can't You Be Nicer To Me?;nicer
The White Strips;Why Can't You Be Nicer To Me?;to
The White Strips;Why Can't You Be Nicer To Me?;me
